"Name","Author","Created","Vendor","ExpectedLocations","VulnerableExecutables","VulnerableExecutables_Path","VulnerableExecutables_Type","VulnerableExecutables_ExpectedVersionInformation","VulnerableExecutables_ExpectedVersionInformation_OriginalFilename","VulnerableExecutables_ExpectedVersionInformation_FileDescription","VulnerableExecutables_SHA256","Resources","Acknowledgements","Acknowledgements_Name","Acknowledgements_Company","Acknowledgements_Twitter","ExpectedSignatureInformation","ExpectedSignatureInformation_Subject","ExpectedSignatureInformation_Issuer","ExpectedSignatureInformation_Type","VulnerableExecutables_AutoElevate","VulnerableExecutables_ExpectedVersionInformation_InternalName","ExpectedVersionInformation","ExpectedVersionInformation_OriginalFilename","ExpectedVersionInformation_InternalName","ExpectedVersionInformation_FileDescription","VulnerableExecutables_ExpectedSignatureInformation","VulnerableExecutables_ExpectedSignatureInformation_Subject","VulnerableExecutables_ExpectedSignatureInformation_Issuer","VulnerableExecutables_ExpectedSignatureInformation_Type","VulnerableExecutables_ExpectedVersionInformation_CompanyName","VulnerableExecutables_ExpectedVersionInformation_FileVersion","VulnerableExecutables_ExpectedVersionInformation_LegalCopyright","VulnerableExecutables_ExpectedVersionInformation_ProductName","VulnerableExecutables_ExpectedVersionInformation_ProductVersion","VulnerableExecutables_Variable","VulnerableExecutables_PrivilegeEscalation","VulnerableExecutables_Condition","ExpectedVersionInformation_CompanyName","ExpectedVersionInformation_LegalCopyright","ExpectedVersionInformation_ProductName","ExpectedVersionInformation_FileVersion","ExpectedVersionInformation_ProductVersion","CVE","is_legit"
"windows.ui.immersive.dll","Chris Spehn","2021-08-16","Microsoft","[''%SYSTEM32%''-|-''%SYSWOW64%'']","","[''%SYSTEM32%\dmnotificationbroker.exe''-|-''%SYSTEM32%\phoneactivate.exe'']","[''Sideloading''-|-''Sideloading'']","","","","","[''https://securityintelligence.com/posts/windows-features-dll-sideloading/''-|-''https://github.com/xforcered/WFH'']","","Chris Spehn","","@ConsciousHacker","","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","","","","","","","","[''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US'']","[''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US'']","[''Catalog''-|-''Catalog'']","","","","","","","","","","","","","","","false"
"windows.storage.dll","Wietze Beukema","2022-05-21","Microsoft","[''%SYSTEM32%''-|-''%SYSWOW64%'']","","[''%SYSTEM32%\calc.exe''-|-''%SYSTEM32%\certreq.exe''-|-''%SYSTEM32%\compmgmtlauncher.exe''-|-''%SYSTEM32%\control.exe''-|-''%SYSTEM32%\dfrgui.exe''-|-''%SYSTEM32%\explorer.exe''-|-''%SYSTEM32%\filehistory.exe''-|-''%SYSTEM32%\licensingdiag.exe''-|-''%SYSTEM32%\msdt.exe''-|-''%SYSTEM32%\mstsc.exe''-|-''%SYSTEM32%\notepad.exe''-|-''%SYSTEM32%\powershell.exe''-|-''%SYSTEM32%\presentationsettings.exe''-|-''%SYSTEM32%\rdpclip.exe''-|-''%SYSTEM32%\tabcal.exe''-|-''%SYSTEM32%\verifier.exe''-|-''%SYSTEM32%\wfs.exe''-|-''%SYSTEM32%\workfolders.exe''-|-''%SYSTEM32%\write.exe''-|-''%SYSTEM32%\wscollect.exe''-|-''%PROGRAMFILES%\Google\Chrome\Application\chrome.exe''-|-''%PROGRAMFILES%\Microsoft\Edge\Application\msedge.exe''-|-''%PROGRAMFILES%\Mozilla Firefox\firefox.exe''-|-''%PROGRAMFILES%\Microsoft Office\root\Office%VERSION%\excel.exe''-|-''%PROGRAMFILES%\Microsoft Office\root\Office%VERSION%\outlook.exe''-|-''%PROGRAMFILES%\Microsoft Office\root\Office%VERSION%\powerpnt.exe''-|-''%PROGRAMFILES%\Microsoft Office\root\Office%VERSION%\winword.exe''-|-''%APPDATA%\Zoom\bin\zoom.exe''-|-''%PROGRAMFILES%\WindowsApps\MicrosoftTeams%VERSION%\msteams.exe''-|-''%PROGRAMFILES%\Microsoft Office\root\Office%VERSION%\msaccess.exe''-|-''%PROGRAMFILES%\Microsoft Office\root\Office%VERSION%\msoev.exe''-|-''%PROGRAMFILES%\Microsoft Office\root\Office%VERSION%\msotd.exe''-|-''%PROGRAMFILES%\Microsoft Office\root\Office%VERSION%\mspub.exe''-|-''%PROGRAMFILES%\Microsoft Office\root\Office%VERSION%\onenote.exe'']","[''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable'']","","","","","https://wietze.github.io/blog/save-the-environment-variables","","Wietze","","@wietze","","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","","","","","","","","[''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US'']","[''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US'']","[''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog'']","","","","","","[''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT'']","","[''Tested against Microsoft Office 2021''-|-''Tested against Microsoft Office 2021''-|-''Tested against Microsoft Office 2021''-|-''Tested against Microsoft Office 2021''-|-''Tested against Microsoft Office 2021'']","","","","","","","false"
"windows.storage.search.dll","Wietze Beukema","2022-05-21","Microsoft","[''%SYSTEM32%''-|-''%SYSWOW64%'']","","[''%SYSTEM32%\certreq.exe''-|-''%SYSTEM32%\control.exe''-|-''%SYSTEM32%\explorer.exe''-|-''%SYSTEM32%\notepad.exe'']","[''Environment Variable''-|-''Environment Variable''-|-''Environment Variable''-|-''Environment Variable'']","","","","","https://wietze.github.io/blog/save-the-environment-variables","","Wietze","","@wietze","","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","","","","","","","","[''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US'']","[''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US'']","[''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog'']","","","","","","[''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT''-|-''SYSTEMROOT'']","","","","","","","","","false"
"winbrand.dll","Wietze Beukema","2021-02-27","Microsoft","[''%SYSTEM32%''-|-''%SYSWOW64%'']","","[''%SYSTEM32%\bdehdcfg.exe''-|-''%SYSTEM32%\licensediag.exe''-|-''%SYSTEM32%\slui.exe''-|-''%SYSTEM32%\systempropertiesadvanced.exe''-|-''%SYSTEM32%\systemsettingsadminflows.exe'']","[''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading'']","","","","","[''https://wietze.github.io/blog/hijacking-dlls-in-windows''-|-''https://securityintelligence.com/posts/windows-features-dll-sideloading/''-|-''https://github.com/xforcered/WFH'']","","[''Wietze''-|-''Chris Spehn'']","","[''@wietze''-|-''@ConsciousHacker'']","","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","[''True''-|-''True'']","","","","","","","[''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US'']","[''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US'']","[''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog'']","","","","","","","","","","","","","","","false"
"winbio.dll","Chris Spehn","2021-08-17","Microsoft","[''%SYSTEM32%''-|-''%SYSWOW64%'']","","%SYSTEM32%\securityhealthservice.exe","Sideloading","","","","","[''https://securityintelligence.com/posts/windows-features-dll-sideloading/''-|-''https://github.com/xforcered/WFH'']","","Chris Spehn","","@ConsciousHacker","","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","","","","","","","","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","","","","","","","","","","","","","","","false"
"wimgapi.dll","Wietze Beukema","2021-02-27","Microsoft","[''%SYSTEM32%''-|-''%SYSWOW64%''-|-''%PROGRAMFILES%\Windows Kits\10\Assessment and Deployment Kit\Deployment Tools\arm64\DISM'']","","[''%SYSTEM32%\recoverydrive.exe''-|-''%SYSTEM32%\resetengine.exe''-|-''%SYSTEM32%\systemreset.exe''-|-''%SYSTEM32%\dism.exe'']","[''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Phantom'']","","","","","[''https://www.hexacorn.com/blog/2015/02/23/beyond-good-ol-run-key-part-28/''-|-''https://wietze.github.io/blog/hijacking-dlls-in-windows''-|-''https://securityintelligence.com/posts/windows-features-dll-sideloading/''-|-''https://github.com/xforcered/WFH'']","","[''Wietze''-|-''Adam''-|-''Chris Spehn'']","","[''@wietze''-|-''@hexacorn''-|-''@ConsciousHacker'']","","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","True","","","","","","","[''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US'']","[''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US'']","[''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog'']","","","","","","","","","","","","","","","false"
"whhelper.dll","Wietze Beukema","2021-02-27","Microsoft","[''%SYSTEM32%''-|-''%SYSWOW64%'']","","%SYSTEM32%\netsh.exe","Sideloading","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows","","Wietze","","@wietze","","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","","","","","","","","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","","","","","","","","","","","","","","","false"
"wevtapi.dll","Wietze Beukema","2021-02-27","Microsoft","[''%SYSTEM32%''-|-''%SYSWOW64%'']","","[''%SYSTEM32%\cidiag.exe''-|-''%SYSTEM32%\dcdiag.exe''-|-''%SYSTEM32%\gpupdate.exe''-|-''%SYSTEM32%\mbaeparsertask.exe''-|-''%SYSTEM32%\netsh.exe''-|-''%SYSTEM32%\nlb.exe''-|-''%SYSTEM32%\packageinspector.exe''-|-''%SYSTEM32%\plasrv.exe''-|-''%SYSTEM32%\tracerpt.exe''-|-''%SYSTEM32%\wecutil.exe''-|-''%SYSTEM32%\wlbs.exe''-|-''%SYSTEM32%\wsreset.exe''-|-''%SYSTEM32%\filehistory.exe''-|-''%SYSTEM32%\logman.exe'']","[''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Environment Variable''-|-''Environment Variable'']","","","","","[''https://wietze.github.io/blog/hijacking-dlls-in-windows''-|-''https://wietze.github.io/blog/save-the-environment-variables''-|-''https://securityintelligence.com/posts/windows-features-dll-sideloading/''-|-''https://github.com/xforcered/WFH'']","","[''Wietze''-|-''Chris Spehn'']","","[''@wietze''-|-''@ConsciousHacker'']","","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","True","","","","","","","[''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US'']","[''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US'']","[''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog'']","","","","","","[''SYSTEMROOT''-|-''SYSTEMROOT'']","","","","","","","","","false"
"wer.dll","Wietze Beukema","2021-02-27","Microsoft","[''%SYSTEM32%''-|-''%SYSWOW64%'']","","[''%SYSTEM32%\dwwin.exe''-|-''%SYSTEM32%\msdt.exe''-|-''%SYSTEM32%\pcalua.exe''-|-''%SYSTEM32%\relpost.exe''-|-''%SYSTEM32%\rstrui.exe''-|-''%SYSTEM32%\sdclt.exe''-|-''%SYSTEM32%\srtasks.exe''-|-''%SYSTEM32%\wbengine.exe''-|-''%SYSTEM32%\werfault.exe''-|-''%SYSTEM32%\werfaultsecure.exe''-|-''%SYSTEM32%\wermgr.exe'']","[''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading'']","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows","","Wietze","","@wietze","","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","[''True''-|-''True''-|-''True'']","","","","","","","[''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US'']","[''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US'']","[''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog'']","","","","","","","","","","","","","","","false"
"wecapi.dll","Wietze Beukema","2021-02-27","Microsoft","[''%SYSTEM32%''-|-''%SYSWOW64%'']","","%SYSTEM32%\wecutil.exe","Sideloading","","","","","https://wietze.github.io/blog/hijacking-dlls-in-windows","","Wietze","","@wietze","","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","","","","","","","","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","","","","","","","","","","","","","","","false"
"webservices.dll","Wietze Beukema","2021-02-27","Microsoft","[''%SYSTEM32%''-|-''%SYSWOW64%'']","","[''%SYSTEM32%\clipup.exe''-|-''%SYSTEM32%\sppsvc.exe''-|-''%SYSTEM32%\vsgraphicsdesktopengine.exe''-|-''%SYSTEM32%\vsgraphicsremoteengine.exe''-|-''%SYSTEM32%\wifitask.exe''-|-''%SYSTEM32%\wksprt.exe'']","[''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading''-|-''Sideloading'']","","","","","[''https://wietze.github.io/blog/hijacking-dlls-in-windows''-|-''https://securityintelligence.com/posts/windows-features-dll-sideloading/''-|-''https://github.com/xforcered/WFH'']","","[''Wietze''-|-''Chris Spehn'']","","[''@wietze''-|-''@ConsciousHacker'']","","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Catalog","","","","","","","","[''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US'']","[''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US''-|-''CN=Microsoft Windows Production PCA 2011, O=Microsoft Corporation, L=Redmond, S=Washington, C=US'']","[''Catalog''-|-''Catalog''-|-''Catalog''-|-''Catalog'']","","","","","","","","","","","","","","","false"
