"Service Name","Port Number","Transport Protocol","Description","is_legit"
"rmiregistry","1099","tcp","RMI Registry","false"
"rmiregistry","1099","udp","RMI Registry","false"
"mctp","1100","tcp","MCTP","false"
"mctp","1100","udp","MCTP","false"
"pt2-discover","1101","tcp","PT2-DISCOVER","false"
"pt2-discover","1101","udp","PT2-DISCOVER","false"
"adobeserver-1","1102","tcp","ADOBE SERVER 1","false"
"adobeserver-1","1102","udp","ADOBE SERVER 1","false"
"adobeserver-2","1103","tcp","ADOBE SERVER 2","false"
"adobeserver-2","1103","udp","ADOBE SERVER 2","false"
"xrl","1104","tcp","XRL","false"
"xrl","1104","udp","XRL","false"
"ftranhc","1105","tcp","FTRANHC","false"
"ftranhc","1105","udp","FTRANHC","false"
"isoipsigport-1","1106","tcp","ISOIPSIGPORT-1","false"
"isoipsigport-1","1106","udp","ISOIPSIGPORT-1","false"
"isoipsigport-2","1107","tcp","ISOIPSIGPORT-2","false"
"isoipsigport-2","1107","udp","ISOIPSIGPORT-2","false"
"ratio-adp","1108","tcp","ratio-adp","false"
"ratio-adp","1108","udp","ratio-adp","false"
"","1109","","Reserved - IANA","false"
"webadmstart","1110","tcp","Start web admin server","false"
"nfsd-keepalive","1110","udp","Client status info","false"
"lmsocialserver","1111","tcp","LM Social Server","false"
"lmsocialserver","1111","udp","LM Social Server","false"
"icp","1112","tcp","Intelligent Communication Protocol","false"
"icp","1112","udp","Intelligent Communication Protocol","false"
"ltp-deepspace","1113","tcp","Licklider Transmission Protocol","false"
"ltp-deepspace","1113","udp","Licklider Transmission Protocol","false"
"ltp-deepspace","1113","dccp","Licklider Transmission Protocol","false"
"mini-sql","1114","tcp","Mini SQL","false"
"mini-sql","1114","udp","Mini SQL","false"
"ardus-trns","1115","tcp","ARDUS Transfer","false"
"ardus-trns","1115","udp","ARDUS Transfer","false"
"ardus-cntl","1116","tcp","ARDUS Control","false"
"ardus-cntl","1116","udp","ARDUS Control","false"
"ardus-mtrns","1117","tcp","ARDUS Multicast Transfer","false"
"ardus-mtrns","1117","udp","ARDUS Multicast Transfer","false"
"sacred","1118","tcp","SACRED","false"
"sacred","1118","udp","SACRED","false"
"bnetgame","1119","tcp","Battle.net Chat/Game Protocol","false"
"bnetgame","1119","udp","Battle.net Chat/Game Protocol","false"
"bnetfile","1120","tcp","Battle.net File Transfer Protocol","false"
"bnetfile","1120","udp","Battle.net File Transfer Protocol","false"
"rmpp","1121","tcp","Datalode RMPP","false"
"rmpp","1121","udp","Datalode RMPP","false"
"availant-mgr","1122","tcp","availant-mgr","false"
"availant-mgr","1122","udp","availant-mgr","false"
"murray","1123","tcp","Murray","false"
"murray","1123","udp","Murray","false"
"hpvmmcontrol","1124","tcp","HP VMM Control","false"
"hpvmmcontrol","1124","udp","HP VMM Control","false"
"hpvmmagent","1125","tcp","HP VMM Agent","false"
"hpvmmagent","1125","udp","HP VMM Agent","false"
"hpvmmdata","1126","tcp","HP VMM Agent","false"
"hpvmmdata","1126","udp","HP VMM Agent","false"
"kwdb-commn","1127","tcp","KWDB Remote Communication","false"
"kwdb-commn","1127","udp","KWDB Remote Communication","false"
"saphostctrl","1128","tcp","SAPHostControl over SOAP/HTTP","false"
"saphostctrl","1128","udp","SAPHostControl over SOAP/HTTP","false"
"saphostctrls","1129","tcp","SAPHostControl over SOAP/HTTPS","false"
"saphostctrls","1129","udp","SAPHostControl over SOAP/HTTPS","false"
"casp","1130","tcp","CAC App Service Protocol","false"
"casp","1130","udp","CAC App Service Protocol","false"
"caspssl","1131","tcp","CAC App Service Protocol Encripted","false"
"caspssl","1131","udp","CAC App Service Protocol Encripted","false"
"kvm-via-ip","1132","tcp","KVM-via-IP Management Service","false"
"kvm-via-ip","1132","udp","KVM-via-IP Management Service","false"
"dfn","1133","tcp","Data Flow Network","false"
"dfn","1133","udp","Data Flow Network","false"
"aplx","1134","tcp","MicroAPL APLX","false"
"aplx","1134","udp","MicroAPL APLX","false"
"omnivision","1135","tcp","OmniVision Communication Service","false"
"omnivision","1135","udp","OmniVision Communication Service","false"
"hhb-gateway","1136","tcp","HHB Gateway Control","false"
"hhb-gateway","1136","udp","HHB Gateway Control","false"
"trim","1137","tcp","TRIM Workgroup Service","false"
"trim","1137","udp","TRIM Workgroup Service","false"
"encrypted-admin","1138","tcp","""encrypted admin requests","false"
"encrypted_admin","1138","tcp","encrypted admin requests","false"
"encrypted-admin","1138","udp","""encrypted admin requests","false"
"encrypted_admin","1138","udp","encrypted admin requests","false"
"evm","1139","tcp","Enterprise Virtual Manager","false"
"evm","1139","udp","Enterprise Virtual Manager","false"
"autonoc","1140","tcp","AutoNOC Network Operations Protocol","false"
"autonoc","1140","udp","AutoNOC Network Operations Protocol","false"
"mxomss","1141","tcp","User Message Service","false"
"mxomss","1141","udp","User Message Service","false"
"edtools","1142","tcp","User Discovery Service","false"
"edtools","1142","udp","User Discovery Service","false"
"imyx","1143","tcp","Infomatryx Exchange","false"
"imyx","1143","udp","Infomatryx Exchange","false"
"fuscript","1144","tcp","Fusion Script","false"
"fuscript","1144","udp","Fusion Script","false"
"x9-icue","1145","tcp","X9 iCue Show Control","false"
"x9-icue","1145","udp","X9 iCue Show Control","false"
"audit-transfer","1146","tcp","audit transfer","false"
"audit-transfer","1146","udp","audit transfer","false"
"capioverlan","1147","tcp","CAPIoverLAN","false"
"capioverlan","1147","udp","CAPIoverLAN","false"
"elfiq-repl","1148","tcp","Elfiq Replication Service","false"
"elfiq-repl","1148","udp","Elfiq Replication Service","false"
"bvtsonar","1149","tcp","BlueView Sonar Service","false"
"bvtsonar","1149","udp","BlueView Sonar Service","false"
"blaze","1150","tcp","Blaze File Server","false"
"blaze","1150","udp","Blaze File Server","false"
"unizensus","1151","tcp","Unizensus Login Server","false"
"unizensus","1151","udp","Unizensus Login Server","false"
"winpoplanmess","1152","tcp","Winpopup LAN Messenger","false"
"winpoplanmess","1152","udp","Winpopup LAN Messenger","false"
"c1222-acse","1153","tcp","ANSI C12.22 Port","false"
"c1222-acse","1153","udp","ANSI C12.22 Port","false"
"resacommunity","1154","tcp","Community Service","false"
"resacommunity","1154","udp","Community Service","false"
"nfa","1155","tcp","Network File Access","false"
"nfa","1155","udp","Network File Access","false"
"iascontrol-oms","1156","tcp","iasControl OMS","false"
"iascontrol-oms","1156","udp","iasControl OMS","false"
"iascontrol","1157","tcp","Oracle iASControl","false"
"iascontrol","1157","udp","Oracle iASControl","false"
"dbcontrol-oms","1158","tcp","dbControl OMS","false"
"dbcontrol-oms","1158","udp","dbControl OMS","false"
"oracle-oms","1159","tcp","Oracle OMS","false"
"oracle-oms","1159","udp","Oracle OMS","false"
"olsv","1160","tcp","DB Lite Mult-User Server","false"
"olsv","1160","udp","DB Lite Mult-User Server","false"
"health-polling","1161","tcp","Health Polling","false"
"health-polling","1161","udp","Health Polling","false"
"health-trap","1162","tcp","Health Trap","false"
"health-trap","1162","udp","Health Trap","false"
"sddp","1163","tcp","SmartDialer Data Protocol","false"
"sddp","1163","udp","SmartDialer Data Protocol","false"
"qsm-proxy","1164","tcp","QSM Proxy Service","false"
"qsm-proxy","1164","udp","QSM Proxy Service","false"
"qsm-gui","1165","tcp","QSM GUI Service","false"
"qsm-gui","1165","udp","QSM GUI Service","false"
"qsm-remote","1166","tcp","QSM RemoteExec","false"
"qsm-remote","1166","udp","QSM RemoteExec","false"
"cisco-ipsla","1167","tcp","Cisco IP SLAs Control Protocol","false"
"cisco-ipsla","1167","udp","Cisco IP SLAs Control Protocol","false"
"cisco-ipsla","1167","sctp","Cisco IP SLAs Control Protocol","false"
"vchat","1168","tcp","VChat Conference Service","false"
"vchat","1168","udp","VChat Conference Service","false"
"tripwire","1169","tcp","TRIPWIRE","false"
"tripwire","1169","udp","TRIPWIRE","false"
"atc-lm","1170","tcp","AT+C License Manager","false"
"atc-lm","1170","udp","AT+C License Manager","false"
"atc-appserver","1171","tcp","AT+C FmiApplicationServer","false"
"atc-appserver","1171","udp","AT+C FmiApplicationServer","false"
"dnap","1172","tcp","DNA Protocol","false"
"dnap","1172","udp","DNA Protocol","false"
"d-cinema-rrp","1173","tcp","D-Cinema Request-Response","false"
"d-cinema-rrp","1173","udp","D-Cinema Request-Response","false"
"fnet-remote-ui","1174","tcp","FlashNet Remote Admin","false"
"fnet-remote-ui","1174","udp","FlashNet Remote Admin","false"
"dossier","1175","tcp","Dossier Server","false"
"dossier","1175","udp","Dossier Server","false"
"indigo-server","1176","tcp","Indigo Home Server","false"
"indigo-server","1176","udp","Indigo Home Server","false"
"dkmessenger","1177","tcp","DKMessenger Protocol","false"
"dkmessenger","1177","udp","DKMessenger Protocol","false"
"sgi-storman","1178","tcp","SGI Storage Manager","false"
"sgi-storman","1178","udp","SGI Storage Manager","false"
"b2n","1179","tcp","Backup To Neighbor","false"
"b2n","1179","udp","Backup To Neighbor","false"
"mc-client","1180","tcp","Millicent Client Proxy","false"
"mc-client","1180","udp","Millicent Client Proxy","false"
"3comnetman","1181","tcp","3Com Net Management","false"
"3comnetman","1181","udp","3Com Net Management","false"
"accelenet","1182","tcp","AcceleNet Control","false"
"accelenet-data","1182","udp","AcceleNet Data","false"
"llsurfup-http","1183","tcp","LL Surfup HTTP","false"
"llsurfup-http","1183","udp","LL Surfup HTTP","false"
"llsurfup-https","1184","tcp","LL Surfup HTTPS","false"
"llsurfup-https","1184","udp","LL Surfup HTTPS","false"
"catchpole","1185","tcp","Catchpole port","false"
"catchpole","1185","udp","Catchpole port","false"
"mysql-cluster","1186","tcp","MySQL Cluster Manager","false"
"mysql-cluster","1186","udp","MySQL Cluster Manager","false"
"alias","1187","tcp","Alias Service","false"
"alias","1187","udp","Alias Service","false"
"hp-webadmin","1188","tcp","HP Web Admin","false"
"hp-webadmin","1188","udp","HP Web Admin","false"
"unet","1189","tcp","Unet Connection","false"
"unet","1189","udp","Unet Connection","false"
"commlinx-avl","1190","tcp","CommLinx GPS / AVL System","false"
"commlinx-avl","1190","udp","CommLinx GPS / AVL System","false"
"gpfs","1191","tcp","General Parallel File System","false"
"gpfs","1191","udp","General Parallel File System","false"
"caids-sensor","1192","tcp","caids sensors channel","false"
"caids-sensor","1192","udp","caids sensors channel","false"
"fiveacross","1193","tcp","Five Across Server","false"
"fiveacross","1193","udp","Five Across Server","false"
"openvpn","1194","tcp","OpenVPN","false"
"openvpn","1194","udp","OpenVPN","false"
"rsf-1","1195","tcp","RSF-1 clustering","false"
"rsf-1","1195","udp","RSF-1 clustering","false"
"netmagic","1196","tcp","Network Magic","false"
"netmagic","1196","udp","Network Magic","false"
"carrius-rshell","1197","tcp","Carrius Remote Access","false"
"carrius-rshell","1197","udp","Carrius Remote Access","false"
"cajo-discovery","1198","tcp","cajo reference discovery","false"
"cajo-discovery","1198","udp","cajo reference discovery","false"
"dmidi","1199","tcp","DMIDI","false"
"dmidi","1199","udp","DMIDI","false"
"scol","1200","tcp","SCOL","false"
"scol","1200","udp","SCOL","false"
"nucleus-sand","1201","tcp","Nucleus Sand Database Server","false"
"nucleus-sand","1201","udp","Nucleus Sand Database Server","false"
"caiccipc","1202","tcp","caiccipc","false"
"caiccipc","1202","udp","caiccipc","false"
"ssslic-mgr","1203","tcp","License Validation","false"
"ssslic-mgr","1203","udp","License Validation","false"
"ssslog-mgr","1204","tcp","Log Request Listener","false"
"ssslog-mgr","1204","udp","Log Request Listener","false"
"accord-mgc","1205","tcp","Accord-MGC","false"
"accord-mgc","1205","udp","Accord-MGC","false"
"anthony-data","1206","tcp","Anthony Data","false"
"anthony-data","1206","udp","Anthony Data","false"
"metasage","1207","tcp","MetaSage","false"
"metasage","1207","udp","MetaSage","false"
"seagull-ais","1208","tcp","SEAGULL AIS","false"
"seagull-ais","1208","udp","SEAGULL AIS","false"
"ipcd3","1209","tcp","IPCD3","false"
"ipcd3","1209","udp","IPCD3","false"
"eoss","1210","tcp","EOSS","false"
"eoss","1210","udp","EOSS","false"
"groove-dpp","1211","tcp","Groove DPP","false"
"groove-dpp","1211","udp","Groove DPP","false"
"lupa","1212","tcp","lupa","false"
"lupa","1212","udp","lupa","false"
"mpc-lifenet","1213","tcp","Medtronic/Physio-Control LIFENET","false"
"mpc-lifenet","1213","udp","Medtronic/Physio-Control LIFENET","false"
"kazaa","1214","tcp","KAZAA","false"
"kazaa","1214","udp","KAZAA","false"
"scanstat-1","1215","tcp","scanSTAT 1.0","false"
"scanstat-1","1215","udp","scanSTAT 1.0","false"
"etebac5","1216","tcp","ETEBAC 5","false"
"etebac5","1216","udp","ETEBAC 5","false"
"hpss-ndapi","1217","tcp","HPSS NonDCE Gateway","false"
"hpss-ndapi","1217","udp","HPSS NonDCE Gateway","false"
"aeroflight-ads","1218","tcp","AeroFlight-ADs","false"
"aeroflight-ads","1218","udp","AeroFlight-ADs","false"
"aeroflight-ret","1219","tcp","AeroFlight-Ret","false"
"aeroflight-ret","1219","udp","AeroFlight-Ret","false"
"qt-serveradmin","1220","tcp","QT SERVER ADMIN","false"
"qt-serveradmin","1220","udp","QT SERVER ADMIN","false"
"sweetware-apps","1221","tcp","SweetWARE Apps","false"
"sweetware-apps","1221","udp","SweetWARE Apps","false"
"nerv","1222","tcp","SNI R&D network","false"
"nerv","1222","udp","SNI R&D network","false"
"tgp","1223","tcp","TrulyGlobal Protocol","false"
"tgp","1223","udp","TrulyGlobal Protocol","false"
"vpnz","1224","tcp","VPNz","false"
"vpnz","1224","udp","VPNz","false"
"slinkysearch","1225","tcp","SLINKYSEARCH","false"
"slinkysearch","1225","udp","SLINKYSEARCH","false"
"stgxfws","1226","tcp","STGXFWS","false"
"stgxfws","1226","udp","STGXFWS","false"
"dns2go","1227","tcp","DNS2Go","false"
"dns2go","1227","udp","DNS2Go","false"
"florence","1228","tcp","FLORENCE","false"
"florence","1228","udp","FLORENCE","false"
"zented","1229","tcp","ZENworks Tiered Electronic Distribution","false"
"zented","1229","udp","ZENworks Tiered Electronic Distribution","false"
"periscope","1230","tcp","Periscope","false"
"periscope","1230","udp","Periscope","false"
"menandmice-lpm","1231","tcp","menandmice-lpm","false"
"menandmice-lpm","1231","udp","menandmice-lpm","false"
"first-defense","1232","tcp","Remote systems monitoring","false"
"first-defense","1232","udp","Remote systems monitoring","false"
"univ-appserver","1233","tcp","Universal App Server","false"
"univ-appserver","1233","udp","Universal App Server","false"
"search-agent","1234","tcp","Infoseek Search Agent","false"
"search-agent","1234","udp","Infoseek Search Agent","false"
"mosaicsyssvc1","1235","tcp","mosaicsyssvc1","false"
"mosaicsyssvc1","1235","udp","mosaicsyssvc1","false"
"bvcontrol","1236","tcp","bvcontrol","false"
"bvcontrol","1236","udp","bvcontrol","false"
"tsdos390","1237","tcp","tsdos390","false"
"tsdos390","1237","udp","tsdos390","false"
"hacl-qs","1238","tcp","hacl-qs","false"
"hacl-qs","1238","udp","hacl-qs","false"
"nmsd","1239","tcp","NMSD","false"
"nmsd","1239","udp","NMSD","false"
"instantia","1240","tcp","Instantia","false"
"instantia","1240","udp","Instantia","false"
"nessus","1241","tcp","nessus","false"
"nessus","1241","udp","nessus","false"
"nmasoverip","1242","tcp","NMAS over IP","false"
"nmasoverip","1242","udp","NMAS over IP","false"
"serialgateway","1243","tcp","SerialGateway","false"
"serialgateway","1243","udp","SerialGateway","false"
"isbconference1","1244","tcp","isbconference1","false"
"isbconference1","1244","udp","isbconference1","false"
"isbconference2","1245","tcp","isbconference2","false"
"isbconference2","1245","udp","isbconference2","false"
"payrouter","1246","tcp","payrouter","false"
"payrouter","1246","udp","payrouter","false"
"visionpyramid","1247","tcp","VisionPyramid","false"
"visionpyramid","1247","udp","VisionPyramid","false"
"hermes","1248","tcp","hermes","false"
"hermes","1248","udp","hermes","false"
"mesavistaco","1249","tcp","Mesa Vista Co","false"
"mesavistaco","1249","udp","Mesa Vista Co","false"
"swldy-sias","1250","tcp","swldy-sias","false"
"swldy-sias","1250","udp","swldy-sias","false"
"servergraph","1251","tcp","servergraph","false"
"servergraph","1251","udp","servergraph","false"
"bspne-pcc","1252","tcp","bspne-pcc","false"
"bspne-pcc","1252","udp","bspne-pcc","false"
"q55-pcc","1253","tcp","q55-pcc","false"
"q55-pcc","1253","udp","q55-pcc","false"
"de-noc","1254","tcp","de-noc","false"
"de-noc","1254","udp","de-noc","false"
"de-cache-query","1255","tcp","de-cache-query","false"
"de-cache-query","1255","udp","de-cache-query","false"
"de-server","1256","tcp","de-server","false"
"de-server","1256","udp","de-server","false"
"shockwave2","1257","tcp","Shockwave 2","false"
"shockwave2","1257","udp","Shockwave 2","false"
"opennl","1258","tcp","Open Network Library","false"
"opennl","1258","udp","Open Network Library","false"
"opennl-voice","1259","tcp","Open Network Library Voice","false"
"opennl-voice","1259","udp","Open Network Library Voice","false"
"ibm-ssd","1260","tcp","ibm-ssd","false"
"ibm-ssd","1260","udp","ibm-ssd","false"
"mpshrsv","1261","tcp","mpshrsv","false"
"mpshrsv","1261","udp","mpshrsv","false"
"qnts-orb","1262","tcp","QNTS-ORB","false"
"qnts-orb","1262","udp","QNTS-ORB","false"
"dka","1263","tcp","dka","false"
"dka","1263","udp","dka","false"
"prat","1264","tcp","PRAT","false"
"prat","1264","udp","PRAT","false"
"dssiapi","1265","tcp","DSSIAPI","false"
"dssiapi","1265","udp","DSSIAPI","false"
"dellpwrappks","1266","tcp","DELLPWRAPPKS","false"
"dellpwrappks","1266","udp","DELLPWRAPPKS","false"
"epc","1267","tcp","eTrust Policy Compliance","false"
"epc","1267","udp","eTrust Policy Compliance","false"
"propel-msgsys","1268","tcp","PROPEL-MSGSYS","false"
"propel-msgsys","1268","udp","PROPEL-MSGSYS","false"
"watilapp","1269","tcp","WATiLaPP","false"
"watilapp","1269","udp","WATiLaPP","false"
"opsmgr","1270","tcp","Microsoft Operations Manager","false"
"opsmgr","1270","udp","Microsoft Operations Manager","false"
"excw","1271","tcp","eXcW","false"
"excw","1271","udp","eXcW","false"
"cspmlockmgr","1272","tcp","CSPMLockMgr","false"
"cspmlockmgr","1272","udp","CSPMLockMgr","false"
"emc-gateway","1273","tcp","EMC-Gateway","false"
"emc-gateway","1273","udp","EMC-Gateway","false"
"t1distproc","1274","tcp","t1distproc","false"
"t1distproc","1274","udp","t1distproc","false"
"ivcollector","1275","tcp","ivcollector","false"
"ivcollector","1275","udp","ivcollector","false"
"","1276","tcp","Reserved","false"
"","1276","udp","Reserved","false"
"miva-mqs","1277","tcp","mqs","false"
"miva-mqs","1277","udp","mqs","false"
"dellwebadmin-1","1278","tcp","Dell Web Admin 1","false"
"dellwebadmin-1","1278","udp","Dell Web Admin 1","false"
"dellwebadmin-2","1279","tcp","Dell Web Admin 2","false"
"dellwebadmin-2","1279","udp","Dell Web Admin 2","false"
"pictrography","1280","tcp","Pictrography","false"
"pictrography","1280","udp","Pictrography","false"
"healthd","1281","tcp","healthd","false"
"healthd","1281","udp","healthd","false"
"emperion","1282","tcp","Emperion","false"
"emperion","1282","udp","Emperion","false"
"productinfo","1283","tcp","Product Information","false"
"productinfo","1283","udp","Product Information","false"
"iee-qfx","1284","tcp","IEE-QFX","false"
"iee-qfx","1284","udp","IEE-QFX","false"
"neoiface","1285","tcp","neoiface","false"
"neoiface","1285","udp","neoiface","false"
"netuitive","1286","tcp","netuitive","false"
"netuitive","1286","udp","netuitive","false"
"routematch","1287","tcp","RouteMatch Com","false"
"routematch","1287","udp","RouteMatch Com","false"
"navbuddy","1288","tcp","NavBuddy","false"
"navbuddy","1288","udp","NavBuddy","false"
"jwalkserver","1289","tcp","JWalkServer","false"
"jwalkserver","1289","udp","JWalkServer","false"
"winjaserver","1290","tcp","WinJaServer","false"
"winjaserver","1290","udp","WinJaServer","false"
"seagulllms","1291","tcp","SEAGULLLMS","false"
"seagulllms","1291","udp","SEAGULLLMS","false"
"dsdn","1292","tcp","dsdn","false"
"dsdn","1292","udp","dsdn","false"
"pkt-krb-ipsec","1293","tcp","PKT-KRB-IPSec","false"
"pkt-krb-ipsec","1293","udp","PKT-KRB-IPSec","false"
"cmmdriver","1294","tcp","CMMdriver","false"
"cmmdriver","1294","udp","CMMdriver","false"
"ehtp","1295","tcp","End-by-Hop Transmission Protocol","false"
"ehtp","1295","udp","End-by-Hop Transmission Protocol","false"
"dproxy","1296","tcp","dproxy","false"
"dproxy","1296","udp","dproxy","false"
"sdproxy","1297","tcp","sdproxy","false"
"sdproxy","1297","udp","sdproxy","false"
"lpcp","1298","tcp","lpcp","false"
"lpcp","1298","udp","lpcp","false"
"hp-sci","1299","tcp","hp-sci","false"
"hp-sci","1299","udp","hp-sci","false"
"h323hostcallsc","1300","tcp","H.323 Secure Call Control Signalling","false"
"h323hostcallsc","1300","udp","H.323 Secure Call Control Signalling","false"
"","1301","tcp","Reserved","false"
"","1301","udp","Reserved","false"
"","1302","tcp","Reserved","false"
"","1302","udp","Reserved","false"
"sftsrv","1303","tcp","sftsrv","false"
"sftsrv","1303","udp","sftsrv","false"
"boomerang","1304","tcp","Boomerang","false"
"boomerang","1304","udp","Boomerang","false"
"pe-mike","1305","tcp","pe-mike","false"
"pe-mike","1305","udp","pe-mike","false"
"re-conn-proto","1306","tcp","RE-Conn-Proto","false"
"re-conn-proto","1306","udp","RE-Conn-Proto","false"
"pacmand","1307","tcp","Pacmand","false"
"pacmand","1307","udp","Pacmand","false"
"odsi","1308","tcp","Optical Domain Service Interconnect (ODSI)","false"
"odsi","1308","udp","Optical Domain Service Interconnect (ODSI)","false"
"jtag-server","1309","tcp","JTAG server","false"
"jtag-server","1309","udp","JTAG server","false"
"husky","1310","tcp","Husky","false"
"husky","1310","udp","Husky","false"
"rxmon","1311","tcp","RxMon","false"
"rxmon","1311","udp","RxMon","false"
"sti-envision","1312","tcp","STI Envision","false"
"sti-envision","1312","udp","STI Envision","false"
"bmc-patroldb","1313","tcp","""BMC_PATROLDB","false"
"bmc_patroldb","1313","tcp","BMC_PATROLDB","false"
"bmc-patroldb","1313","udp","""BMC_PATROLDB","false"
"bmc_patroldb","1313","udp","BMC_PATROLDB","false"
"pdps","1314","tcp","Photoscript Distributed Printing System","false"
"pdps","1314","udp","Photoscript Distributed Printing System","false"
"els","1315","tcp","""E.L.S.","false"
"els","1315","udp","""E.L.S.","false"
"exbit-escp","1316","tcp","Exbit-ESCP","false"
"exbit-escp","1316","udp","Exbit-ESCP","false"
"vrts-ipcserver","1317","tcp","vrts-ipcserver","false"
"vrts-ipcserver","1317","udp","vrts-ipcserver","false"
"krb5gatekeeper","1318","tcp","krb5gatekeeper","false"
"krb5gatekeeper","1318","udp","krb5gatekeeper","false"
"amx-icsp","1319","tcp","AMX-ICSP","false"
"amx-icsp","1319","udp","AMX-ICSP","false"
"amx-axbnet","1320","tcp","AMX-AXBNET","false"
"amx-axbnet","1320","udp","AMX-AXBNET","false"
"pip","1321","tcp","PIP","false"
"pip","1321","udp","PIP","false"
"novation","1322","tcp","Novation","false"
"novation","1322","udp","Novation","false"
"brcd","1323","tcp","brcd","false"
"brcd","1323","udp","brcd","false"
"delta-mcp","1324","tcp","delta-mcp","false"
"delta-mcp","1324","udp","delta-mcp","false"
"dx-instrument","1325","tcp","DX-Instrument","false"
"dx-instrument","1325","udp","DX-Instrument","false"
"wimsic","1326","tcp","WIMSIC","false"
"wimsic","1326","udp","WIMSIC","false"
"ultrex","1327","tcp","Ultrex","false"
"ultrex","1327","udp","Ultrex","false"
"ewall","1328","tcp","EWALL","false"
"ewall","1328","udp","EWALL","false"
"netdb-export","1329","tcp","netdb-export","false"
"netdb-export","1329","udp","netdb-export","false"
"streetperfect","1330","tcp","StreetPerfect","false"
"streetperfect","1330","udp","StreetPerfect","false"
"intersan","1331","tcp","intersan","false"
"intersan","1331","udp","intersan","false"
"pcia-rxp-b","1332","tcp","PCIA RXP-B","false"
"pcia-rxp-b","1332","udp","PCIA RXP-B","false"
"passwrd-policy","1333","tcp","Password Policy","false"
"passwrd-policy","1333","udp","Password Policy","false"
"writesrv","1334","tcp","writesrv","false"
"writesrv","1334","udp","writesrv","false"
"digital-notary","1335","tcp","Digital Notary Protocol","false"
"digital-notary","1335","udp","Digital Notary Protocol","false"
"ischat","1336","tcp","Instant Service Chat","false"
"ischat","1336","udp","Instant Service Chat","false"
"menandmice-dns","1337","tcp","menandmice DNS","false"
"menandmice-dns","1337","udp","menandmice DNS","false"
"wmc-log-svc","1338","tcp","WMC-log-svr","false"
"wmc-log-svc","1338","udp","WMC-log-svr","false"
"kjtsiteserver","1339","tcp","kjtsiteserver","false"
"kjtsiteserver","1339","udp","kjtsiteserver","false"
"naap","1340","tcp","NAAP","false"
"naap","1340","udp","NAAP","false"
"qubes","1341","tcp","QuBES","false"
"qubes","1341","udp","QuBES","false"
"esbroker","1342","tcp","ESBroker","false"
"esbroker","1342","udp","ESBroker","false"
"re101","1343","tcp","re101","false"
"re101","1343","udp","re101","false"
"icap","1344","tcp","ICAP","false"
"icap","1344","udp","ICAP","false"
"vpjp","1345","tcp","VPJP","false"
"vpjp","1345","udp","VPJP","false"
"alta-ana-lm","1346","tcp","Alta Analytics License Manager","false"
"alta-ana-lm","1346","udp","Alta Analytics License Manager","false"
"bbn-mmc","1347","tcp","multi media conferencing","false"
"bbn-mmc","1347","udp","multi media conferencing","false"
"bbn-mmx","1348","tcp","multi media conferencing","false"
"bbn-mmx","1348","udp","multi media conferencing","false"
"sbook","1349","tcp","Registration Network Protocol","false"
"sbook","1349","udp","Registration Network Protocol","false"
"editbench","1350","tcp","Registration Network Protocol","false"
"editbench","1350","udp","Registration Network Protocol","false"
"equationbuilder","1351","tcp","Digital Tool Works (MIT)","false"
"equationbuilder","1351","udp","Digital Tool Works (MIT)","false"
"lotusnote","1352","tcp","Lotus Note","false"
"lotusnote","1352","udp","Lotus Note","false"
"relief","1353","tcp","Relief Consulting","false"
"relief","1353","udp","Relief Consulting","false"
"XSIP-network","1354","tcp","Five Across XSIP Network","false"
"XSIP-network","1354","udp","Five Across XSIP Network","false"
"intuitive-edge","1355","tcp","Intuitive Edge","false"
"intuitive-edge","1355","udp","Intuitive Edge","false"
"cuillamartin","1356","tcp","CuillaMartin Company","false"
"cuillamartin","1356","udp","CuillaMartin Company","false"
"pegboard","1357","tcp","Electronic PegBoard","false"
"pegboard","1357","udp","Electronic PegBoard","false"
"connlcli","1358","tcp","CONNLCLI","false"
"connlcli","1358","udp","CONNLCLI","false"
"ftsrv","1359","tcp","FTSRV","false"
"ftsrv","1359","udp","FTSRV","false"
"mimer","1360","tcp","MIMER","false"
"mimer","1360","udp","MIMER","false"
"linx","1361","tcp","LinX","false"
"linx","1361","udp","LinX","false"
"timeflies","1362","tcp","TimeFlies","false"
"timeflies","1362","udp","TimeFlies","false"
"ndm-requester","1363","tcp","Network DataMover Requester","false"
"ndm-requester","1363","udp","Network DataMover Requester","false"
"ndm-server","1364","tcp","Network DataMover Server","false"
"ndm-server","1364","udp","Network DataMover Server","false"
"adapt-sna","1365","tcp","Network Software Associates","false"
"adapt-sna","1365","udp","Network Software Associates","false"
"netware-csp","1366","tcp","Novell NetWare Comm Service Platform","false"
"netware-csp","1366","udp","Novell NetWare Comm Service Platform","false"
"dcs","1367","tcp","DCS","false"
"dcs","1367","udp","DCS","false"
"screencast","1368","tcp","ScreenCast","false"
"screencast","1368","udp","ScreenCast","false"
"gv-us","1369","tcp","GlobalView to Unix Shell","false"
"gv-us","1369","udp","GlobalView to Unix Shell","false"
"us-gv","1370","tcp","Unix Shell to GlobalView","false"
"us-gv","1370","udp","Unix Shell to GlobalView","false"
"fc-cli","1371","tcp","Fujitsu Config Protocol","false"
"fc-cli","1371","udp","Fujitsu Config Protocol","false"
"fc-ser","1372","tcp","Fujitsu Config Protocol","false"
"fc-ser","1372","udp","Fujitsu Config Protocol","false"
"chromagrafx","1373","tcp","Chromagrafx","false"
